"#","Name","G","W","L","SV","IP","BF","Ball","Str","PIT","R","RA","ER","ERA","ERA9","FIP","K","Kc","Ks","H","BB","IBB","K/BB","K/GI","BB/GI","H/GI","HB","BK","WP","HR","WHIP","OBP","BAA","BABIP","GO","AO","FPS","FPB","FPS%"
7,"Damian Koza",1,0,1,0,4.00,25,40,45,85,11,2.75,7,12.25,15.75,12.100,1,1,0,8,2,0,0.50,1.75,3.50,14.00,2,0,1,2,2.500,0.480,0.381,0.333,8,3,15,10,0.600
5,"Grzegorz Białas",1,0,0,0,0.67,9,12,14,26,5,7.50,4,42.00,54.00,9.100,1,0,1,3,1,0,1.00,10.50,10.50,31.50,1,0,0,0,6.000,0.556,0.429,0.500,0,2,3,6,0.333
"","TOTALS",1,0,1,0,4.67,34,52,59,111,16,3.43,11,16.50,21.21,11.671,2,1,1,11,3,0,0.67,3.00,4.50,16.50,3,0,1,2,3.000,0.500,0.393,0.375,8,5,18,16,0.529
