"#","Name","G","Et","Ef","ERR","PO","A","SBA","CS","DP","TP","PB","PKF","PK","FP"
9,"Miguel Lopez",1,0,0,0,0,0,0,0,0,0,0,0,0,0.000
27,"Łukasz Krzemieniowski",1,0,0,0,0,0,0,0,0,0,0,0,0,0.000
79,"Aaron Arroyo",1,0,0,0,5,0,0,0,0,0,0,0,0,1.000
15,"Szymon Skarzynski",1,0,0,0,0,0,0,0,0,0,0,0,0,0.000
24,"Abel Medina",1,0,0,0,1,0,0,0,0,0,0,0,0,1.000
17,"Robert Roggenbuck",1,0,1,1,3,0,0,0,0,0,0,0,0,0.750
64,"Marek Kozioł ",1,0,0,0,0,0,0,0,0,0,0,0,0,0.000
53,"Wiktor Szymanski",1,0,0,0,0,0,0,0,0,0,0,0,0,0.000
57,"Cesar Malony",1,0,0,0,0,0,0,0,0,0,0,0,0,0.000
63,"Franek Filozof",1,0,0,0,6,0,1,0,0,0,2,0,0,1.000
12,"Piotr Pludowski",1,0,0,0,0,0,0,0,0,0,0,1,0,0.000
20,"Jakub Lenhart",1,0,0,0,0,0,0,0,0,0,0,0,0,0.000
96,"Maciej Sasiadek",1,0,0,0,0,0,0,0,0,0,0,0,0,0.000
99,"Teo Laczny",1,0,0,0,0,0,0,0,0,0,0,0,0,0.000
"","TOTALS",1,0,1,1,15,0,1,0,0,0,2,1,0,0.938
