"#","Name","G","Et","Ef","ERR","PO","A","SBA","CS","DP","TP","PB","PKF","PK","FP"
"","Dobromił Warchoł",1,1,0,1,6,0,11,0,0,0,0,0,0,0.857
66,"Filip Stelmach",1,0,0,0,0,0,0,0,0,0,0,0,0,0.000
7,"Adam Pepłoński",1,0,1,1,0,0,0,0,0,0,0,0,0,0.000
1,"Piotr Obrębski",1,0,2,2,3,0,0,0,0,0,0,0,0,0.600
"","Yasnier Rivera",1,0,3,3,2,1,0,0,0,0,0,0,0,0.500
"","Mikołaj Pietrzyk",1,0,0,0,4,0,0,0,0,0,0,0,0,1.000
"","Bartek Bartoszewski",1,0,0,0,0,1,0,0,0,0,0,0,0,1.000
17,"Konrad Szczepański",1,1,0,1,0,1,0,0,0,0,0,0,0,0.500
"","Patryk Dycha",1,1,0,1,3,0,0,0,0,0,0,0,0,0.750
"","TOTALS",1,3,6,9,18,3,11,0,0,0,0,0,0,0.700
