"#","Name","G","W","L","SV","IP","BF","Ball","Str","PIT","R","RA","ER","ERA","ERA9","FIP","K","Kc","Ks","H","BB","IBB","K/BB","K/GI","BB/GI","H/GI","HB","BK","WP","HR","WHIP","OBP","BAA","BABIP","GO","AO","FPS","FPB","FPS%"
4,"Bartosz Zera",1,0,0,0,4.67,22,29,55,84,4,0.86,4,6.00,7.71,3.743,3,1,2,6,1,0,3.00,4.50,1.50,9.00,2,0,1,0,1.500,0.409,0.316,0.375,0,10,11,12,0.478
"","Javier Hernandez",1,1,0,0,1.33,4,7,12,19,0,0.00,0,0.00,0.00,0.100,2,1,1,1,0,0,0.00,10.50,0.00,5.25,0,0,1,0,0.750,0.250,0.250,0.500,1,0,0,3,0.000
"","TOTALS",1,1,0,0,6.00,26,36,67,103,4,0.67,4,4.67,6.00,2.933,5,2,3,7,1,0,5.00,5.83,1.17,8.17,2,0,2,0,1.333,0.385,0.304,0.389,1,10,11,15,0.423
