"#","Name","G","PA","AB","R","H","B","1B","2B","3B","HR","RBI","BB","Kc","Ks","SO","HBP","SB","CS","SF","SAC","ROE","FC","CI","GDP","GTP","AB/RSP","H/RSP"
44,"Gabriel Wilichowski",1,4,3,3,2,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,"Carlos Salas",1,5,4,2,2,0,2,0,0,0,1,0,0,1,1,1,0,0,0,0,1,0,0,0,0,1,1
41,"Szymon Dwojakowski",1,5,3,1,2,0,2,0,0,0,2,2,0,1,1,0,0,0,0,0,0,0,0,0,0,2,2
72,"Dominik Grzecicha",1,5,4,0,1,0,1,0,0,0,2,0,1,2,3,1,0,0,0,0,0,0,0,0,0,3,1
51,"Dawid Korzekwa",1,5,4,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,2,0
18,"Przemysław Sobik",1,5,5,0,0,0,0,0,0,0,0,0,2,1,3,0,0,0,0,0,0,0,0,0,0,2,0
28,"Jakub Szymura",1,5,4,0,1,0,1,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
26,"Mateusz Benisz",1,5,4,0,1,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0
17,"Marek Setla",1,4,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"","TOTALS",1,43,34,7,9,0,8,1,0,0,6,6,6,5,11,3,0,0,0,0,2,0,0,0,0,13,4
