"#","Name","Ball","Str","PIT","R","RA","ER","ERA","ERA9","K","Kc","Ks","H","BB","IBB","K/BB","K/GI","BB/GI","H/GI","HB","BK","WP","HR","WHIP","OBP","BAA","GO","AO","FPS","FPB","FPS%"
41,"Szymon Dwojakowski",62,81,143,7,0.88,6,5.25,6.75,7,3,4,9,8,1,0.88,6.13,7.00,7.88,0,0,2,0,2.125,0.436,0.290,6,8,19,20,0.487
"","TOTALS",62,81,143,7,0.88,6,5.25,6.75,7,3,4,9,8,1,0.88,6.13,7.00,7.88,0,0,2,0,2.125,0.436,0.290,6,8,19,20,0.487
