"#","Name","Ball","Str","PIT","R","RA","ER","ERA","ERA9","K","Kc","Ks","H","BB","IBB","K/BB","K/GI","BB/GI","H/GI","HB","BK","WP","HR","WHIP","OBP","BAA","GO","AO","FPS","FPB","FPS%"
27,"Łukasz Krzemienowski",59,92,151,5,0.68,5,4.77,6.14,9,4,5,9,5,0,1.80,8.59,4.77,8.59,3,0,1,0,1.909,0.425,0.281,6,6,23,17,0.575
57,"Cezar Malony (L2)",9,10,19,0,0.00,0,0.00,0.00,2,2,0,0,1,0,2.00,21.00,10.50,0.00,0,0,0,0,1.500,0.333,0.000,0,0,2,1,0.667
"","TOTALS",68,102,170,5,0.63,5,4.38,5.63,11,6,5,9,6,0,1.83,9.63,5.25,7.88,3,0,1,0,1.875,0.419,0.265,6,6,25,18,0.581
