"#","Name","G","PA","AB","R","H","B","1B","2B","3B","HR","RBI","AVG","BB","Kc","Ks","SO","HBP","SB","CS","SCB","SF","SAC","RPA","OBP","OBPE","SLG","OPS","GPA","CT%","CT2%","ROE","FC","CI","GDP","GTP","AB/RSP","H/RSP","BA/RSP","QAB1%","QAB2%","QAB3%"
98,"Filip Sulikowski",1,5,4,2,1,0,0,0,0,1,4,0.250,1,1,0,1,0,1,0,0,0,0,1.000,0.400,0.600,1.000,1.400,0.430,0.750,0.600,1,0,0,0,0,3,1,0.333,60.0,40.0,40.0
67,"Carter Olek",1,4,3,4,3,0,2,0,1,0,1,1.000,1,0,0,0,0,2,0,0,0,0,1.250,1.000,1.000,1.667,2.667,0.867,1.000,0.750,0,0,0,0,0,1,1,1.000,75.0,75.0,25.0
69,"Yutaro Takiguchi",1,4,4,1,1,0,1,0,0,0,0,0.250,0,1,1,2,0,1,0,0,0,0,0.250,0.250,0.250,0.250,0.500,0.175,0.500,0.500,0,0,0,0,0,3,1,0.333,25.0,25.0,25.0
5,"Grzegorz Białas",1,4,4,2,2,0,2,0,0,0,1,0.500,0,0,1,1,0,0,0,0,0,0,0.750,0.500,0.750,0.500,1.000,0.350,0.750,0.750,1,0,0,0,0,3,2,0.667,50.0,50.0,50.0
29,"Witold Baranowski",1,4,4,1,2,0,2,0,0,0,3,0.500,0,0,1,1,0,1,0,0,0,0,1.000,0.500,0.500,0.500,1.000,0.350,0.750,0.750,0,0,0,0,0,2,2,1.000,50.0,50.0,50.0
76,"Aliaksandr Fedaruk",1,4,4,2,2,0,0,1,1,0,2,0.500,0,0,1,1,0,0,0,0,0,0,1.000,0.500,0.500,1.250,1.750,0.538,0.750,0.750,0,0,0,0,0,3,2,0.667,50.0,50.0,50.0
13,"Jakub Zelewski",1,2,2,0,0,0,0,0,0,0,0,0.000,0,1,1,2,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,1,0,0.000,0.0,0.0,0.0
22,"Kamil Trepczyk",1,4,3,3,1,0,1,0,0,0,1,0.333,1,0,0,0,0,0,0,0,0,0,1.000,0.500,1.000,0.333,0.833,0.308,1.000,0.750,2,0,0,0,0,1,0,0.000,50.0,50.0,25.0
58,"Wojciech Węcłaś",1,2,1,1,0,0,0,0,0,0,0,0.000,1,1,0,1,0,0,0,0,0,0,0.500,0.500,0.500,0.000,0.500,0.225,0.000,0.000,0,0,0,0,0,1,0,0.000,0.0,0.0,0.0
45,"Marcin Kurkowiak",1,2,2,2,2,0,2,0,0,0,1,1.000,0,0,0,0,0,0,0,0,0,0,1.500,1.000,1.000,1.000,2.000,0.700,1.000,1.000,0,0,0,0,0,1,1,1.000,100.0,100.0,50.0
68,"Michał Smektalski",1,2,1,2,1,0,0,1,0,0,2,1.000,0,0,0,0,1,0,0,0,0,0,2.000,1.000,1.000,2.000,3.000,0.950,1.000,0.500,0,0,0,0,0,1,1,1.000,50.0,50.0,50.0
"","TOTALS",1,37,32,20,15,0,10,2,2,1,15,0.469,4,4,5,9,1,5,0,0,0,0,0.919,0.541,0.649,0.750,1.291,0.431,0.719,0.622,4,0,0,0,0,20,11,0.550,48.6,45.9,35.1
