"#","Name","G","W","L","SV","IP","BF","Ball","Str","PIT","R","RA","ER","ERA","ERA9","FIP","K","Kc","Ks","H","BB","IBB","K/BB","K/GI","BB/GI","H/GI","HB","BK","WP","HR","WHIP","OBP","BAA","BABIP","GO","AO","FPS","FPB","FPS%"
1,"Piotr Obrębski",1,0,1,0,1.67,20,48,27,75,9,5.40,9,37.80,48.60,18.100,1,1,0,5,9,0,0.11,4.20,37.80,21.00,0,0,1,0,8.400,0.700,0.455,0.500,1,3,6,14,0.300
7,"Adam Pepłoński",1,0,0,0,2.33,11,8,16,24,4,1.71,4,12.00,15.43,9.100,1,0,1,3,1,0,1.00,3.00,3.00,9.00,0,0,0,1,1.714,0.364,0.300,0.250,3,3,6,5,0.545
"","Yasnier Rivera",1,0,0,0,2.00,15,19,31,50,4,2.00,3,10.50,13.50,2.100,4,1,3,5,2,0,2.00,14.00,7.00,17.50,0,0,1,0,3.500,0.467,0.385,0.556,1,1,10,5,0.667
"","TOTALS",1,0,1,0,6.00,46,75,74,149,17,2.83,16,18.67,24.00,9.267,6,2,4,13,12,0,0.50,7.00,14.00,15.17,0,0,2,1,4.167,0.543,0.382,0.444,5,7,22,24,0.478
