"#","Name","G","Et","Ef","ERR","PO","A","SBA","CS","DP","TP","PB","PKF","PK","FP"
41,"Patryk Stanoszek",1,0,0,0,0,0,0,0,0,0,0,0,0,0.000
20,"Santana Reynoso",1,0,0,0,0,4,0,0,0,0,0,0,0,1.000
66,"Aleks Polonek",1,0,0,0,2,0,0,0,0,0,0,0,0,1.000
13,"Patryk Szczygiel",1,0,0,0,1,0,0,0,0,0,0,0,0,1.000
75,"Roman Pelka",1,0,0,0,4,0,0,0,0,0,0,0,0,1.000
26,"Kacper Urbanczyk",1,0,0,0,0,0,2,0,0,0,1,0,0,0.000
58,"Jakub Osinski",1,0,0,0,2,0,0,0,0,0,0,0,0,1.000
45,"Oskar Witala",1,0,0,0,0,0,0,0,0,0,0,0,0,0.000
67,"Lukasz Belok",1,0,0,0,0,0,0,0,0,0,0,0,0,0.000
22,"Tomek Rogowiec",1,0,0,0,1,0,0,0,0,0,0,0,0,1.000
4,"Bartek Wycisk",1,0,0,0,2,0,1,0,0,0,2,0,0,1.000
70,"Emil Dudek",1,0,0,0,0,0,0,0,0,0,0,0,0,0.000
31,"Eryk Manka",1,0,0,0,0,0,0,0,0,0,0,0,0,0.000
6,"Szymon Grodski",1,0,0,0,0,0,0,0,0,0,0,0,0,0.000
97,"Mateusz Janus",1,0,1,1,0,0,0,0,0,0,0,0,0,0.000
"","TOTALS",1,0,1,1,12,4,3,0,0,0,3,0,0,0.941
