"#","Name","G","W","L","SV","IP","BF","Ball","Str","PIT","R","RA","ER","ERA","ERA9","K","Kc","Ks","H","BB","IBB","K/BB","K/GI","BB/GI","H/GI","HB","BK","WP","HR","WHIP","OBP","BAA","GO","AO","FPS","FPB","FPS%"
51,"Dawid Korzekwa",1,0,0,0,2.33,11,32,27,59,3,1.29,2,6.00,7.71,5,2,3,1,3,0,1.67,15.00,9.00,3.00,1,0,1,0,1.714,0.455,0.143,1,0,5,7,0.417
01,"Jan Kiszka",1,0,0,0,0.33,8,16,15,31,5,15.00,0,0.00,0.00,0,0,0,2,2,0,0.00,0.00,42.00,42.00,1,1,0,0,12.000,0.625,0.400,1,0,4,4,0.500
41,"Szymon Dwojakowski",1,1,0,0,2.33,11,20,33,53,1,0.43,1,3.00,3.86,6,3,3,0,4,0,1.50,18.00,12.00,0.00,0,0,1,0,1.714,0.364,0.000,0,1,7,4,0.636
"","TOTALS",1,1,0,0,5.00,30,68,75,143,9,1.80,3,4.20,5.40,11,5,6,3,9,0,1.22,15.40,12.60,4.20,2,1,2,0,2.400,0.467,0.158,2,1,16,15,0.516
