"#","Name","G","W","L","SV","IP","BF","Ball","Str","PIT","R","RA","ER","ERA","ERA9","K","Kc","Ks","H","BB","IBB","K/BB","K/GI","BB/GI","H/GI","HB","BK","WP","HR","WHIP","OBP","BAA","GO","AO","FPS","FPB","FPS%"
75,"Roman Pelka",1,0,1,0,1.00,14,28,19,47,10,10.00,10,70.00,90.00,0,0,0,7,3,0,0.00,0.00,21.00,49.00,1,0,4,1,10.000,0.786,0.700,2,1,4,10,0.286
66,"Aleks Polonek",1,0,0,0,0.33,8,23,7,30,5,15.00,5,105.00,135.00,0,0,0,1,4,0,0.00,0.00,84.00,21.00,2,0,5,0,15.000,0.875,1.000,0,1,1,7,0.125
22,"Tomek Rogowiec",1,0,0,0,1.33,11,24,20,44,3,2.25,1,5.25,6.75,1,1,0,2,4,0,0.25,5.25,21.00,10.50,0,0,0,0,4.500,0.545,0.286,2,1,5,6,0.455
70,"Emil Dudek",1,0,0,0,1.33,10,23,15,38,6,4.50,5,26.25,33.75,1,1,0,3,1,0,1.00,5.25,5.25,15.75,2,0,2,0,3.000,0.600,0.429,2,1,0,10,0.000
"","TOTALS",1,0,1,0,4.00,43,98,61,159,24,6.00,21,36.75,47.25,2,2,0,13,12,0,0.17,3.50,21.00,22.75,5,0,11,1,6.250,0.698,0.520,6,4,10,33,0.233
