"#","Name","G","PA","AB","R","H","B","1B","2B","3B","HR","RBI","AVG","BB","Kc","Ks","SO","HBP","SB","CS","SCB","SF","SAC","RPA","OBP","OBPE","SLG","OPS","GPA","CT%","CT2%","ROE","FC","CI","GDP","GTP","AB/RSP","H/RSP","BA/RSP","QAB1%","QAB2%","QAB3%"
05,"Gabriel Wilichnowski",1,5,3,4,2,0,0,2,0,0,2,0.667,1,0,0,0,1,0,0,0,0,0,1.200,0.800,0.800,1.333,2.133,0.693,1.000,0.600,0,0,0,0,0,2,1,0.500,60.0,60.0,40.0
08,"Tymoteusz Piecha",1,5,5,2,3,0,2,1,0,0,5,0.600,0,1,0,1,0,0,0,0,0,0,1.400,0.600,0.600,0.800,1.400,0.470,0.800,0.800,0,0,0,0,0,5,3,0.600,80.0,80.0,80.0
3,"Carlos Salas",1,5,1,4,0,0,0,0,0,0,0,0.000,3,0,0,0,1,2,0,0,0,0,0.800,0.800,0.800,0.000,0.800,0.360,1.000,0.200,0,1,0,0,0,1,0,0.000,20.0,20.0,20.0
72,"Dominik Grzecicha",1,5,4,3,3,0,1,1,0,1,3,0.750,0,0,0,0,1,0,0,0,0,0,1.000,0.800,1.000,1.750,2.550,0.798,1.000,0.800,1,0,0,0,0,3,2,0.667,60.0,60.0,60.0
51,"Dawid Korzekwa",1,3,2,2,1,0,0,1,0,0,2,0.500,1,0,0,0,0,0,0,0,0,0,1.333,0.667,0.667,1.000,1.667,0.550,1.000,0.667,0,0,0,0,0,2,1,0.500,66.7,66.7,66.7
28,"Jakub Szymura",1,5,2,0,1,0,1,0,0,0,2,0.500,2,0,0,0,0,0,0,0,1,1,0.400,0.600,0.600,0.500,1.100,0.395,1.000,0.400,0,0,0,0,0,2,1,0.500,60.0,60.0,60.0
18,"Przemyslaw Sobik",1,2,1,2,0,0,0,0,0,0,0,0.000,1,0,0,0,0,1,0,0,0,0,1.000,0.500,0.500,0.000,0.500,0.225,1.000,0.500,0,1,0,0,0,1,0,0.000,0.0,0.0,0.0
09,"Maksymilian Serwotka",1,4,2,3,2,0,1,1,0,0,1,1.000,2,0,0,0,0,0,0,0,0,0,1.000,1.000,1.000,1.500,2.500,0.825,1.000,0.500,0,0,0,0,0,1,1,1.000,50.0,50.0,25.0
22,"Szymon Garus",1,4,2,3,1,0,1,0,0,0,0,0.500,1,0,0,0,1,0,0,0,0,0,0.750,0.750,0.750,0.500,1.250,0.463,1.000,0.500,0,0,0,0,0,0,0,0.000,50.0,50.0,25.0
01,"Jan Kiszka",1,0,0,0,0,0,0,0,0,0,0,0.000,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0.000,0.0,0.0,0.0
41,"Szymon Dwojakowski",1,2,0,1,0,0,0,0,0,0,0,0.000,1,0,0,0,1,0,0,0,0,0,0.500,1.000,1.000,0.000,1.000,0.450,0.000,0.000,0,0,0,0,0,0,0,0.000,0.0,0.0,0.0
02,"Pawel Kruczek",1,0,0,0,0,0,0,0,0,0,0,0.000,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0.000,0.0,0.0,0.0
03,"Dominik Wilk",1,3,3,0,0,0,0,0,0,0,0,0.000,0,1,0,1,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.667,0.667,0,2,0,0,0,2,0,0.000,33.3,33.3,33.3
"","TOTALS",1,43,25,24,13,0,6,6,0,1,15,0.520,12,2,0,2,5,3,0,0,1,1,0.884,0.698,0.721,0.880,1.578,0.534,0.920,0.535,1,4,0,0,0,19,9,0.474,48.8,48.8,41.9
