"#","Name","G","Et","Ef","ERR","PO","A","SBA","CS","DP","TP","PB","PKF","PK","FP"
76,"Aliaksandr Fedaruk",1,0,0,0,0,1,0,0,0,0,0,0,0,1.000
67,"Carter Olek",1,0,0,0,3,0,0,0,0,0,0,0,0,1.000
69,"Yutaro Takiguchi",1,0,0,0,7,2,3,0,0,0,0,1,2,1.000
5,"Grzegorz Białas",1,0,1,1,0,0,0,0,0,0,0,0,0,0.000
29,"Witold Baranowski",1,0,0,0,1,0,0,0,0,0,0,0,0,1.000
58,"Wojciech Wecłaś",1,0,0,0,0,0,0,0,0,0,0,1,0,0.000
45,"Marcin Kurkowiak",1,0,1,1,2,1,0,0,0,0,0,0,0,0.750
13,"Jakub Zelewski",1,0,0,0,0,0,0,0,0,0,0,0,0,0.000
68,"Michał Smektalski",1,0,0,0,2,0,0,0,0,0,0,0,0,1.000
7,"Damian Koza",1,0,0,0,0,0,0,0,0,0,0,0,0,0.000
21,"Dawid Trepczyk",1,0,0,0,0,0,0,0,0,0,0,0,0,0.000
"","TOTALS",1,0,2,2,15,4,3,0,0,0,0,2,2,0.905
