"#","Name","G","W","L","SV","IP","BF","Ball","Str","PIT","R","RA","ER","ERA","ERA9","FIP","K","Kc","Ks","H","BB","IBB","K/BB","K/GI","BB/GI","H/GI","HB","BK","WP","HR","WHIP","OBP","BAA","BABIP","GO","AO","FPS","FPB","FPS%"
48,"Samuel Camacho",1,0,0,0,3.00,9,9,25,34,0,0.00,0,0.00,0.00,-0.900,6,4,2,1,0,0,0.00,14.00,0.00,2.33,0,0,0,0,0.333,0.111,0.111,0.333,2,0,7,2,0.778
23,"Jakub Wojtczak",1,1,0,0,3.00,12,13,25,38,0,0.00,0,0.00,0.00,1.767,5,1,4,0,2,0,2.50,11.67,4.67,0.00,0,0,1,0,0.667,0.167,0.000,0.000,1,2,9,3,0.750
"","TOTALS",1,1,0,0,6.00,21,22,50,72,0,0.00,0,0.00,0.00,0.433,11,5,6,1,2,0,5.50,12.83,2.33,1.17,0,0,1,0,0.500,0.143,0.053,0.125,3,2,16,5,0.762
