"#","Name","G","W","L","SV","IP","BF","Ball","Str","PIT","R","RA","ER","ERA","ERA9","FIP","K","Kc","Ks","H","BB","IBB","K/BB","K/GI","BB/GI","H/GI","HB","BK","WP","HR","WHIP","OBP","BAA","BABIP","GO","AO","FPS","FPB","FPS%"
7,"Damian Koza",1,0,1,0,4.00,24,40,54,94,7,1.75,6,10.50,13.50,2.850,5,5,0,8,2,0,2.50,8.75,3.50,14.00,1,1,1,0,2.500,0.458,0.381,0.500,5,1,11,13,0.458
98,"Filip Sulikowski",1,0,0,0,1.33,13,22,23,45,6,4.50,5,26.25,33.75,6.850,2,1,1,6,3,0,0.67,10.50,15.75,31.50,0,0,0,0,6.750,0.692,0.600,0.750,0,1,8,5,0.615
"","TOTALS",1,0,1,0,5.33,37,62,77,139,13,2.44,11,14.44,18.56,3.850,7,6,1,14,5,0,1.40,9.19,6.56,18.38,1,1,1,0,3.563,0.541,0.452,0.583,5,2,19,18,0.514
