"#","Name","G","PA","AB","R","H","B","1B","2B","3B","HR","RBI","AVG","BB","Kc","Ks","SO","HBP","SB","CS","SCB","SF","SAC","RPA","OBP","OBPE","SLG","OPS","GPA","CT%","CT2%","ROE","FC","CI","GDP","GTP","AB/RSP","H/RSP","BA/RSP","QAB1%","QAB2%","QAB3%"
41,"Patryk Stanoszek",1,3,3,0,0,0,0,0,0,0,0,0.000,0,1,1,2,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.333,0.333,0,0,0,0,0,1,0,0.000,33.3,33.3,33.3
22,"Tomek Rogowiec",1,4,4,0,1,0,1,0,0,0,1,0.250,0,1,2,3,0,0,0,0,0,0,0.250,0.250,0.250,0.250,0.500,0.175,0.250,0.250,0,0,0,0,0,3,1,0.333,50.0,50.0,50.0
4,"Bartek Wycisk",1,4,4,0,0,0,0,0,0,0,0,0.000,0,0,2,2,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.500,0.500,0,0,0,0,0,1,0,0.000,50.0,50.0,50.0
66,"Aleks Polonek",1,4,2,1,0,0,0,0,0,0,0,0.000,2,1,0,1,0,1,0,0,0,0,0.250,0.500,0.750,0.000,0.500,0.225,0.500,0.250,1,0,0,0,0,0,0,0.000,25.0,25.0,25.0
13,"Patryk Szczygiel",1,4,4,1,1,0,1,0,0,0,0,0.250,0,1,0,1,0,0,0,0,0,0,0.250,0.250,0.250,0.250,0.500,0.175,0.750,0.750,0,1,0,0,0,0,0,0.000,50.0,50.0,25.0
75,"Roman Pelka",1,4,4,1,1,0,1,0,0,0,0,0.250,0,0,2,2,0,0,0,0,0,0,0.250,0.250,0.500,0.250,0.500,0.175,0.500,0.500,1,0,0,0,0,2,0,0.000,75.0,75.0,50.0
70,"Emil Dudek",1,4,4,1,1,0,0,0,0,1,3,0.250,0,0,1,1,0,0,0,0,0,0,0.750,0.250,0.250,1.000,1.250,0.363,0.750,0.750,0,0,0,0,0,2,1,0.500,25.0,25.0,25.0
21,"Lukasz Rumpel",1,3,3,0,2,0,2,0,0,0,0,0.667,0,0,0,0,0,0,0,0,0,0,0.000,0.667,0.667,0.667,1.333,0.467,1.000,1.000,0,0,0,0,0,0,0,0.000,66.7,66.7,0.0
26,"Kacper Urbanczyk",1,3,1,1,0,0,0,0,0,0,0,0.000,2,0,1,1,0,0,0,0,0,0,0.333,0.667,0.667,0.000,0.667,0.300,0.000,0.000,0,0,0,0,0,0,0,0.000,33.3,33.3,33.3
20,"Santana Reynoso",1,1,0,0,0,0,0,0,0,0,0,0.000,1,0,0,0,0,0,0,0,0,0,0.000,1.000,1.000,0.000,1.000,0.450,0.000,0.000,0,0,0,0,0,0,0,0.000,0.0,0.0,0.0
"","TOTALS",1,34,29,5,6,0,5,0,0,1,4,0.207,5,4,9,13,0,1,0,0,0,0,0.235,0.324,0.382,0.310,0.634,0.223,0.552,0.471,2,1,0,0,0,9,2,0.222,44.1,44.1,32.4
