"#","Name","G","W","L","SV","IP","BF","Ball","Str","PIT","R","RA","ER","ERA","ERA9","K","Kc","Ks","H","BB","IBB","K/BB","K/GI","BB/GI","H/GI","HB","BK","WP","HR","WHIP","OBP","BAA","GO","AO","FPS","FPB","FPS%"
66,"Aleks Polonek",1,0,1,0,2.67,23,46,40,86,12,4.50,6,15.75,20.25,2,0,2,4,7,0,0.29,5.25,18.38,10.50,3,1,3,1,4.125,0.636,0.333,2,2,11,12,0.478
22,"Tomek Rogowiec",1,0,0,0,3.33,14,9,22,31,0,0.00,0,0.00,0.00,0,0,0,2,0,0,0.00,0.00,0.00,4.20,1,1,0,0,0.600,0.214,0.154,1,9,10,4,0.714
"","TOTALS",1,0,1,0,6.00,37,55,62,117,12,2.00,6,7.00,9.00,2,0,2,6,7,0,0.29,2.33,8.17,7.00,4,2,3,1,2.167,0.472,0.240,3,11,21,16,0.568
