"#","Name","G","W","L","SV","IP","BF","Ball","Str","PIT","R","RA","ER","ERA","ERA9","K","Kc","Ks","H","BB","IBB","K/BB","K/GI","BB/GI","H/GI","HB","BK","WP","HR","WHIP","OBP","BAA","GO","AO","FPS","FPB","FPS%"
28,"Jakub Szymura",1,0,0,0,4.00,16,22,42,64,1,0.25,0,0.00,0.00,8,1,7,2,1,0,8.00,14.00,1.75,3.50,0,0,0,0,0.750,0.188,0.133,3,1,10,6,0.625
06,"Dawid Pierchala",1,1,0,0,1.33,12,18,20,38,4,3.00,3,15.75,20.25,1,1,0,4,3,0,0.33,5.25,15.75,21.00,0,1,1,1,5.250,0.583,0.444,0,3,7,5,0.583
41,"Szymon Dwojakowski",1,0,0,0,1.67,6,11,18,29,0,0.00,0,0.00,0.00,4,2,2,0,1,0,4.00,16.80,4.20,0.00,0,0,0,0,0.600,0.167,0.000,0,1,4,2,0.667
"","TOTALS",1,1,0,0,7.00,34,51,80,131,5,0.71,3,3.00,3.86,13,4,9,6,5,0,2.60,13.00,5.00,6.00,0,1,1,1,1.571,0.324,0.207,3,5,21,13,0.618
