"#","Name","G","PA","AB","R","H","B","1B","2B","3B","HR","RBI","AVG","BB","Kc","Ks","SO","HBP","SB","CS","SCB","SF","SAC","RPA","OBP","OBPE","SLG","OPS","GPA","BABIP","CT%","CT2%","ROE","FC","CI","GDP","GTP","AB/RSP","H/RSP","BA/RSP","QAB1%","QAB2%","QAB3%"
40,"Gracjan Bielecki",1,3,1,2,1,0,1,0,0,0,1,1.000,0,0,0,0,1,0,0,0,1,1,1.000,0.667,0.667,1.000,1.667,0.550,0.500,1.000,0.333,0,0,0,0,0,0,0,0.000,66.7,66.7,33.3
1,"Edgar Toro",1,5,3,3,0,0,0,0,0,0,1,0.000,2,0,0,0,0,2,0,0,0,0,0.800,0.400,0.600,0.000,0.400,0.180,0.000,1.000,0.600,1,0,0,0,0,1,0,0.000,40.0,40.0,40.0
23,"Jakub Wojtczak",1,4,3,1,2,0,1,0,0,1,4,0.667,1,0,0,0,0,0,0,0,0,0,1.000,0.750,0.750,1.667,2.417,0.754,0.500,1.000,0.750,0,0,0,0,0,2,2,1.000,50.0,50.0,50.0
21,"Artur Wojtczak",1,4,3,1,2,0,2,0,0,0,1,0.667,1,0,0,0,0,0,0,0,0,0,0.500,0.750,0.750,0.667,1.417,0.504,0.667,1.000,0.750,0,0,0,0,0,1,1,1.000,50.0,50.0,25.0
6,"Wojciech Zagawa",1,2,2,0,0,0,0,0,0,0,1,0.000,0,0,0,0,0,0,0,0,0,0,0.500,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,0,0,0,0,0,1,0,0.000,50.0,50.0,50.0
17,"Mateusz Serafin",1,4,4,1,1,0,1,0,0,0,1,0.250,0,1,0,1,0,0,0,0,0,0,0.500,0.250,0.250,0.250,0.500,0.175,0.333,0.750,0.750,0,0,0,0,0,3,1,0.333,25.0,25.0,25.0
9,"Radosław Jóźwiak",1,4,3,0,0,0,0,0,0,0,1,0.000,1,0,1,1,0,0,0,0,0,0,0.250,0.250,0.250,0.000,0.250,0.113,0.000,0.667,0.500,0,0,0,0,0,2,0,0.000,25.0,25.0,25.0
12,"Anderson Reyes",1,4,2,1,0,0,0,0,0,0,1,0.000,2,1,1,2,0,0,0,0,0,0,0.500,0.500,0.500,0.000,0.500,0.225,0.000,0.000,0.000,0,0,0,0,0,0,0,0.000,25.0,25.0,25.0
7,"Eryk Kieruńczak",1,4,3,2,1,0,1,0,0,0,0,0.333,0,0,1,1,1,2,0,0,0,0,0.500,0.500,0.750,0.333,0.833,0.308,0.500,0.667,0.500,1,0,0,0,0,1,0,0.000,25.0,25.0,0.0
13,"Kacper Kamiński",1,2,1,0,0,0,0,0,0,0,1,0.000,0,0,0,0,0,0,0,0,1,1,0.500,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.500,0,0,0,0,0,1,0,0.000,50.0,50.0,50.0
18,"Piotr Malarski",1,2,1,1,1,0,1,0,0,0,0,1.000,1,0,0,0,0,0,0,0,0,0,0.500,1.000,1.000,1.000,2.000,0.700,1.000,1.000,0.500,0,0,0,0,0,0,0,0.000,50.0,50.0,0.0
95,"Artur Sztrałka",1,0,0,1,0,0,0,0,0,0,0,0.000,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0.000,0.0,0.0,0.0
"","TOTALS",1,38,26,13,8,0,7,0,0,1,12,0.308,8,2,3,5,2,4,0,0,2,2,0.632,0.474,0.526,0.423,0.897,0.319,0.318,0.808,0.553,2,0,0,0,0,12,4,0.333,39.5,39.5,28.9
