"#","Name","G","Et","Ef","ERR","PO","A","SBA","CS","DP","TP","PB","PKF","PK","FP"
"","Marceli Buchacz",1,0,1,1,0,1,0,0,0,0,0,0,0,0.500
7,"Phil Richmond",1,0,0,0,1,0,0,0,0,0,0,0,0,1.000
25,"Wiktor Wróbel Habuda",1,1,0,1,7,0,5,0,0,0,0,0,0,0.875
22,"Hubert Szczeszka",1,0,0,0,8,1,0,0,0,0,0,0,0,1.000
18,"Tymofii Zadniprianyi",1,0,2,2,0,2,0,0,0,0,0,0,0,0.500
29,"Mikołaj Wąsiewicz",1,0,0,0,1,0,0,0,0,0,0,0,0,1.000
26,"Heorhi Mikhalchanka",1,0,0,0,0,0,0,0,0,0,0,0,0,0.000
5,"Igor Sawczuk",1,0,0,0,0,0,0,0,0,0,0,0,0,0.000
10,"Julian Gruber",1,0,0,0,0,0,0,0,0,0,0,0,0,0.000
57,"Tadeusz Romanowski",1,0,0,0,1,0,0,0,0,0,0,1,0,1.000
20,"Wiktor Mantorski",1,1,0,1,0,2,0,0,0,0,0,0,1,0.667
50,"Oskar Kopeć",1,0,0,0,0,0,0,0,0,0,0,0,0,0.000
"","TOTALS",1,2,3,5,18,6,5,0,0,0,0,1,1,0.828
