"#","Name","Ball","Str","PIT","R","RA","ER","ERA","ERA9","K","Kc","Ks","H","BB","IBB","K/BB","K/GI","BB/GI","H/GI","HB","BK","WP","HR","WHIP","OBP","BAA","GO","AO","FPS","FPB","FPS%"
57,"Cezar Malony (L2)",33,45,78,5,2.14,2,6.00,7.71,6,4,2,8,2,0,3.00,18.00,6.00,24.00,3,0,0,1,4.286,0.650,0.533,0,1,5,15,0.250
15,"Szymon Skarżyński",17,22,39,1,0.60,1,4.20,5.40,2,0,2,3,2,0,1.00,8.40,8.40,12.60,0,0,0,0,3.000,0.625,0.500,1,0,4,5,0.444
9,"Miguel Lopez (L2)",15,34,49,1,0.33,1,2.33,3.00,7,1,6,3,2,0,3.50,16.33,4.67,7.00,1,0,0,1,1.667,0.400,0.250,1,1,9,6,0.600
27,"Łukasz Krzemienowski",3,4,7,0,0.00,0,0.00,0.00,0,0,0,1,0,0,0.00,0.00,0.00,0.00,0,0,0,0,0.000,1.000,1.000,0,0,0,1,0.000
"","TOTALS",68,105,173,7,1.00,4,4.00,5.14,15,5,10,15,6,0,2.50,15.00,6.00,15.00,4,0,0,2,3.000,0.568,0.441,2,2,18,27,0.400
