"#","Name","G","W","L","SV","IP","BF","Ball","Str","PIT","R","RA","ER","ERA","ERA9","K","Kc","Ks","H","BB","IBB","K/BB","K/GI","BB/GI","H/GI","HB","BK","WP","HR","WHIP","OBP","BAA","GO","AO","FPS","FPB","FPS%"
78,"Timothy Brown",1,0,0,0,7.00,25,19,57,76,2,0.29,0,0.00,0.00,7,5,2,4,0,0,0.00,9.00,0.00,5.14,0,0,0,0,0.571,0.160,0.160,10,3,18,7,0.720
"","TOTALS",1,0,0,0,7.00,25,19,57,76,2,0.29,0,0.00,0.00,7,5,2,4,0,0,0.00,9.00,0.00,5.14,0,0,0,0,0.571,0.160,0.160,10,3,18,7,0.720
