"#","Name","G","W","L","SV","IP","BF","Ball","Str","PIT","R","RA","ER","ERA","ERA9","FIP","K","Kc","Ks","H","BB","IBB","K/BB","K/GI","BB/GI","H/GI","HB","BK","WP","HR","WHIP","OBP","BAA","BABIP","GO","AO","FPS","FPB","FPS%"
10,"Julian Gruber",1,0,0,0,3.00,14,26,29,55,1,0.33,0,0.00,0.00,2.433,4,2,2,2,2,0,2.00,9.33,4.67,4.67,0,0,0,0,1.333,0.286,0.167,0.250,4,1,6,8,0.429
50,"Oskar Kopeć",1,1,0,0,2.00,10,21,23,44,1,0.50,1,3.50,4.50,3.100,3,2,1,2,2,0,1.50,10.50,7.00,7.00,0,0,1,0,2.000,0.400,0.250,0.400,1,2,6,4,0.600
"","TOTALS",1,1,0,0,5.00,24,47,52,99,2,0.40,1,1.40,1.80,2.700,7,4,3,4,4,0,1.75,9.80,5.60,5.60,0,0,1,0,1.600,0.333,0.200,0.308,5,3,12,12,0.500
