"#","Name","G","Et","Ef","ERR","PO","A","SBA","CS","DP","TP","PB","PKF","PK","FP"
18,"Tymofii Zadniprianyi",1,0,0,0,1,2,0,0,0,0,0,0,0,1.000
7,"Phil Richmond",1,0,0,0,6,0,1,0,0,0,0,0,0,1.000
34,"Ian Waldron",1,0,0,0,2,1,0,0,0,0,0,0,0,1.000
5,"Igor Sawczuk",1,0,0,0,0,0,0,0,0,0,0,0,0,0.000
57,"Tadeusz Romanowski",1,0,0,0,2,0,0,0,0,0,0,0,0,1.000
29,"Mikołaj Wąsiewicz",1,0,0,0,2,0,1,0,0,0,0,0,0,1.000
10,"Julian Gruber",1,0,2,2,1,2,0,0,0,0,0,0,0,0.600
26,"Heorhi Mikhalchanka",1,0,0,0,1,0,0,0,0,0,0,0,0,1.000
3,"Igor Tarka",1,0,0,0,0,0,0,0,0,0,0,0,0,0.000
44,"Dawid Skarżycki",1,0,0,0,0,0,0,0,0,0,0,0,0,0.000
50,"Oskar Kopeć",1,0,0,0,0,0,0,0,0,0,0,0,0,0.000
"","TOTALS",1,0,2,2,15,5,2,0,0,0,0,0,0,0.909
