"#","Name","G","W","L","SV","IP","BF","Ball","Str","PIT","R","RA","ER","ERA","ERA9","K","Kc","Ks","H","BB","IBB","K/BB","K/GI","BB/GI","H/GI","HB","BK","WP","HR","WHIP","OBP","BAA","GO","AO","FPS","FPB","FPS%"
1,"P Obrębski",1,0,0,0,2.00,22,46,28,74,12,6.00,8,36.00,36.00,1,0,1,5,7,0,0.14,4.50,31.50,22.50,2,0,2,0,6.000,0.636,0.385,3,2,8,14,0.364
3,"A Wiśniewski",1,0,0,0,0.33,14,29,20,49,13,39.00,13,351.00,351.00,1,0,1,4,5,0,0.20,27.00,135.00,108.00,4,0,2,0,27.000,0.929,0.800,0,0,6,8,0.429
4,"T Buławko",1,0,0,0,0.00,7,20,3,23,4,0.00,4,0.00,0.00,0,0,0,0,4,0,0.00,0.00,0.00,0.00,3,0,0,0,0.000,1.000,0.000,0,0,0,7,0.000
"","TOTALS",1,0,0,0,2.33,43,95,51,146,29,12.43,25,96.43,96.43,2,0,2,9,16,0,0.13,7.71,61.71,34.71,9,0,4,0,10.714,0.791,0.500,3,2,14,29,0.326
