"#","Name","G","Et","Ef","ERR","PO","A","SBA","CS","DP","TP","PB","PKF","PK","FP"
98,"Filip Sulikowski",1,0,0,0,0,0,0,0,0,0,0,0,0,0.000
67,"Carter Olek",1,0,0,0,1,1,0,0,0,0,0,0,0,1.000
69,"Yutaro Takiguchi",1,0,0,0,3,1,1,1,0,0,0,2,0,1.000
5,"Grzegorz Białas",1,0,1,1,4,0,0,0,0,0,0,0,0,0.800
76,"Aliaksandr Fedaruk",1,0,0,0,0,0,0,0,0,0,0,0,0,0.000
22,"Kamil Trepczyk",1,0,0,0,0,0,0,0,0,0,0,0,0,0.000
45,"Marcin Kurkowiak",1,0,0,0,0,0,0,0,0,0,0,0,0,0.000
29,"Witold Baranowski",1,0,2,2,1,1,0,1,0,0,0,0,0,0.500
7,"Damian Koza",1,0,0,0,0,1,0,0,0,0,0,2,0,1.000
"","TOTALS",1,0,3,3,9,4,1,2,0,0,0,4,0,0.813
