"#","Name","G","PA","AB","R","H","B","1B","2B","3B","HR","RBI","AVG","BB","Kc","Ks","SO","HBP","SB","CS","SCB","SF","SAC","RPA","OBP","OBPE","SLG","OPS","GPA","CT%","CT2%","ROE","FC","CI","GDP","GTP","AB/RSP","H/RSP","BA/RSP","QAB1%","QAB2%","QAB3%"
43,"D Warchoł",1,2,1,0,1,0,1,0,0,0,1,1.000,1,0,0,0,0,0,1,0,0,0,0.500,1.000,1.000,1.000,2.000,0.700,1.000,0.500,0,0,0,0,0,1,1,1.000,100.0,100.0,100.0
28,"Kajetan Szafran",1,2,2,0,0,0,0,0,0,0,0,0.000,0,1,0,1,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.500,0.500,0,0,0,0,0,2,0,0.000,0.0,0.0,0.0
65,"Yasivier Rivera",1,2,1,1,0,0,0,0,0,0,0,0.000,1,0,0,0,0,0,0,0,0,0,0.500,0.500,0.500,0.000,0.500,0.225,1.000,0.500,0,0,0,0,0,1,0,0.000,0.0,0.0,0.0
27,"Onay Perez",1,2,1,1,1,0,1,0,0,0,0,1.000,1,0,0,0,0,0,0,0,0,0,0.500,1.000,1.000,1.000,2.000,0.700,1.000,0.500,0,0,0,0,0,0,0,0.000,100.0,100.0,50.0
1,"P Obrębski",1,2,2,1,1,0,0,0,1,0,1,0.500,0,0,0,0,0,0,1,0,0,0,1.000,0.500,0.500,1.500,2.000,0.600,1.000,1.000,0,1,0,0,0,1,0,0.000,50.0,50.0,50.0
4,"T Buławko",1,2,1,1,0,0,0,0,0,0,0,0.000,1,0,1,1,0,1,0,0,0,0,0.500,0.500,0.500,0.000,0.500,0.225,0.000,0.000,0,0,0,0,0,0,0,0.000,50.0,50.0,50.0
56,"A Łaszek",1,1,1,0,0,0,0,0,0,0,1,0.000,0,0,0,0,0,0,0,0,0,0,1.000,0.000,1.000,0.000,0.000,0.000,1.000,1.000,1,0,0,0,0,1,0,0.000,100.0,100.0,100.0
87,"M Gradus",1,1,1,0,1,0,1,0,0,0,0,1.000,0,0,0,0,0,0,0,0,0,0,0.000,1.000,1.000,1.000,2.000,0.700,1.000,1.000,0,0,0,0,0,1,1,1.000,100.0,100.0,100.0
00,"K Wawrzyn",1,1,1,0,0,0,0,0,0,0,0,0.000,0,1,0,1,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,1,0,0.000,0.0,0.0,0.0
3,"A Wiśniewski",1,0,0,0,0,0,0,0,0,0,0,0.000,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0.000,0.0,0.0,0.0
"","TOTALS",1,15,11,4,4,0,3,0,1,0,3,0.364,4,2,1,3,0,1,2,0,0,0,0.467,0.533,0.600,0.545,1.079,0.376,0.727,0.533,1,1,0,0,0,8,2,0.250,53.3,53.3,46.7
