"#","Name","G","W","L","SV","IP","BF","Ball","Str","PIT","R","RA","ER","ERA","ERA9","K","Kc","Ks","H","BB","IBB","K/BB","K/GI","BB/GI","H/GI","HB","BK","WP","HR","WHIP","OBP","BAA","GO","AO","FPS","FPB","FPS%"
7,"Damian Koza",1,0,0,0,3.00,15,23,28,51,4,1.33,3,9.00,9.00,3,2,1,4,4,0,0.75,9.00,12.00,12.00,0,0,0,0,2.667,0.533,0.364,2,1,7,8,0.467
"","TOTALS",1,0,0,0,3.00,15,23,28,51,4,1.33,3,9.00,9.00,3,2,1,4,4,0,0.75,9.00,12.00,12.00,0,0,0,0,2.667,0.533,0.364,2,1,7,8,0.467
