"#","Name","G","W","L","SV","ST","CMP","ShO","IP","BF","Ball","Str","PIT","R","RA","ER","ERA","ERA9","FIP","K","Kc","Ks","H","BB","IBB","K/BB","K/GI","BB/GI","H/GI","HB","BK","WP","HR","WHIP","OBP","BAA","BABIP","GO","AO","FPS","FPB","FPS%"
41,"Szymon Dwojakowski",1,0,0,0,1,0,0,4.00,20,29,42,71,5,1.25,3,5.25,6.75,2.350,6,1,5,6,2,0,3.00,10.50,3.50,10.50,1,1,0,0,2.000,0.450,0.353,0.545,1,2,11,10,0.524
5,"Tomas Romo",1,1,0,0,0,0,0,3.00,15,22,33,55,3,1.00,1,2.33,3.00,1.767,5,2,3,2,2,0,2.50,11.67,4.67,4.67,0,1,0,0,1.333,0.267,0.154,0.250,4,0,6,9,0.400
"","TOTALS",1,1,0,0,1,0,0,7.00,35,51,75,126,8,1.14,4,4.00,5.14,2.100,11,3,8,8,4,0,2.75,11.00,4.00,8.00,1,2,0,0,1.714,0.371,0.267,0.421,5,2,17,19,0.472
