"#","Name","G","Et","Ef","ERR","PO","A","SBA","CS","DP","TP","PB","PKF","PK","FP","FP1","FP2","FP3","FP4","FP5","FP6","FP7","FP8","FP9","IP","OP1","OP2","OP3","OP4","OP5","OP6","OP7","OP8","OP9"
44,"Gabriel Wilichnowski",1,0,0,0,0,1,0,0,0,0,0,0,0,1.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,7.00,0,0,0,0,0,0,21,0,0
13,"Carlos Salas",1,0,0,0,11,4,1,1,1,0,0,0,0,1.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,7.00,0,21,0,0,0,0,0,0,0
12,"Cooper McDonnel",1,0,0,0,0,2,0,0,0,0,0,0,0,1.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,7.00,0,0,0,0,0,21,0,0,0
72,"Dominik Grzecicha",1,1,3,4,1,1,0,0,1,0,0,0,0,0.333,0.000,0.000,0.000,0.000,0.333,0.000,0.000,0.000,0.000,7.00,0,0,0,0,21,0,0,0,0
51,"Dawid Korzekwa",1,1,0,1,1,0,0,0,0,0,0,0,0,0.500,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.500,0.000,7.00,0,0,0,0,0,0,0,21,0
25,"Franciszek Dudek",1,1,0,1,1,3,0,0,0,0,0,0,0,0.800,0.000,0.000,0.000,0.800,0.000,0.000,0.000,0.000,0.000,7.00,0,0,0,21,0,0,0,0,0
5,"Tomas Romo",1,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.00,9,0,0,0,0,0,0,0,0
28,"Jakub Szymura",1,0,1,1,7,0,0,0,0,0,0,0,0,0.875,0.000,0.000,0.875,0.000,0.000,0.000,0.000,0.000,0.000,7.00,0,0,21,0,0,0,0,0,0
22,"Szymon Garus",1,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,7.00,0,0,0,0,0,0,0,0,21
41,"Szymon Dwojakowski",1,1,0,1,0,1,0,0,0,0,0,0,1,0.500,0.500,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.00,12,0,0,0,0,0,0,0,0
"","TOTALS",1,4,4,8,21,12,1,1,1,0,0,0,1,0.805,0.500,1.000,0.875,0.800,0.333,1.000,1.000,0.500,0.000,63.00,21,21,21,21,21,21,21,21,21
