"#","Name","G","Et","Ef","ERR","PO","A","SBA","CS","DP","TP","PB","PKF","PK","FP","FP1","FP2","FP3","FP4","FP5","FP6","FP7","FP8","FP9","IP","OP1","OP2","OP3","OP4","OP5","OP6","OP7","OP8","OP9"
32,"Stanislaw Struminski",1,0,0,0,6,0,0,0,0,0,0,0,0,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,6.33,0,0,0,0,0,0,0,19,0
16,"Szymon Krolik",1,1,0,1,5,1,0,0,0,0,0,0,0,0.857,0.000,0.000,0.000,0.857,0.000,0.000,0.000,0.000,0.000,6.33,0,0,0,19,0,0,0,0,0
53,"Patryk Wezgowiec",1,1,0,1,2,1,7,0,0,0,1,0,0,0.750,0.000,0.750,0.000,0.000,0.000,0.000,0.000,0.000,0.000,6.33,0,19,0,0,0,0,0,0,0
69,"Grzegorz Motas",1,0,0,0,4,0,0,0,0,0,0,0,0,1.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,6.33,0,0,19,0,0,0,0,0,0
04,"Patryk Zajac",1,0,1,1,0,2,0,0,0,0,0,0,0,0.667,0.000,0.000,0.000,0.000,0.667,0.000,0.000,0.000,0.000,6.33,0,0,0,0,19,0,0,0,0
23,"Ariel Rainko",1,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0,0,0,0,0,0,0,0,0
01,"Marcel Slomian",1,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,6.00,18,0,0,0,0,0,0,0,0
50,"Kacper Blacha",1,1,0,1,1,1,0,0,0,0,0,0,0,0.667,0.000,0.000,0.000,0.000,0.000,0.667,0.000,0.000,0.000,6.33,0,0,0,0,0,19,0,0,0
33,"Adam Dublasiewicz",1,0,0,0,3,0,0,0,0,0,0,0,0,1.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,6.33,0,0,0,0,0,0,19,0,0
13,"Maksymilian Herc",1,0,0,0,1,0,0,0,0,0,0,0,0,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,6.33,0,0,0,0,0,0,0,0,19
06,"Adrian Mandok",1,0,0,0,0,1,0,0,0,0,0,0,1,1.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.33,1,0,0,0,0,0,0,0,0
"","TOTALS",1,3,1,4,22,6,7,0,0,0,1,0,1,0.875,1.000,0.750,1.000,0.857,0.667,0.667,1.000,1.000,1.000,57.00,19,19,19,19,19,19,19,19,19
