"#","Name","G","W","L","SV","ST","CMP","ShO","IP","BF","Ball","Str","PIT","R","RA","ER","ERA","ERA9","FIP","K","Kc","Ks","H","BB","IBB","K/BB","K/GI","BB/GI","H/GI","HB","BK","WP","HR","WHIP","OBP","BAA","BABIP","GO","AO","FPS","FPB","FPS%"
01,"Marcel Slomian",1,0,0,0,1,0,0,6.00,35,71,64,135,8,1.33,5,5.83,7.50,7.100,3,0,3,4,7,0,0.43,3.50,8.17,4.67,3,0,1,0,1.833,0.400,0.167,0.182,3,12,10,25,0.286
06,"Adrian Mandok",1,0,1,0,0,0,0,0.33,3,9,4,13,1,3.00,0,0.00,0.00,21.100,0,0,0,0,2,0,0.00,0.00,42.00,0.00,0,0,1,0,6.000,0.667,0.000,0.000,0,0,1,2,0.333
"","TOTALS",1,0,1,0,1,0,0,6.33,38,80,68,148,9,1.42,5,5.53,7.11,7.837,3,0,3,4,9,0,0.33,3.32,9.95,4.42,3,0,2,0,2.053,0.421,0.160,0.174,3,12,11,27,0.289
