"#","Name","G","PA","AB","R","H","B","1B","2B","3B","HR","RBI","AVG","BB","BBi","Kc","Ks","SO","HBP","SB","CS","PK","SCB","SF","SAC","RPA","OBP","OBPE","SLG","OPS","GPA","BABIP","CT%","CT2%","LOBi","ROE","FC","CI","GDP","GTP","AB/RSP","H/RSP","BA/RSP","TP","QAB1%","QAB2%","QAB3%"
32,"Stanislaw Struminski",1,4,3,1,0,0,0,0,0,0,0,0.000,1,0,0,2,2,0,0,0,0,0,0,0,0.250,0.250,0.250,0.000,0.250,0.113,0.000,0.333,0.250,2,0,0,0,0,0,1,0,0.000,20,50.0,50.0,50.0
16,"Szymon Krolik",1,4,4,1,1,0,1,0,0,0,1,0.250,0,0,0,1,1,0,0,1,0,0,0,0,0.500,0.250,0.500,0.250,0.500,0.175,0.333,0.750,0.750,0,1,0,0,0,0,2,1,0.500,15,25.0,25.0,25.0
53,"Patryk Wezgowiec",1,4,3,3,1,0,0,1,0,0,0,0.333,0,0,0,1,1,1,0,0,0,0,0,0,0.750,0.500,0.750,0.667,1.167,0.392,0.500,0.667,0.500,0,1,0,0,0,0,0,0,0.000,16,50.0,50.0,25.0
69,"Grzegorz Motas",1,4,3,1,1,0,0,1,0,0,1,0.333,1,0,0,0,0,0,0,0,0,0,0,0,0.500,0.500,1.000,0.667,1.167,0.392,0.333,1.000,0.750,0,2,0,0,0,0,1,1,1.000,11,25.0,25.0,25.0
04,"Patryk Zajac",1,4,4,0,2,0,2,0,0,0,2,0.500,0,0,0,0,0,0,0,0,0,0,0,0,0.500,0.500,0.500,0.500,1.000,0.350,0.500,1.000,1.000,2,0,0,0,0,0,2,2,1.000,7,50.0,50.0,50.0
23,"Ariel Rainko",1,0,0,0,0,0,0,0,0,0,0,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0.000,0,0.0,0.0,0.0
01,"Marcel Slomian",1,4,3,1,1,0,0,1,0,0,0,0.333,1,0,1,1,2,0,0,0,0,0,0,0,0.250,0.500,0.500,0.667,1.167,0.392,1.000,0.333,0.250,2,0,0,0,0,0,1,0,0.000,16,25.0,25.0,0.0
50,"Kacper Blacha",1,4,4,0,1,0,1,0,0,0,0,0.250,0,0,0,3,3,0,0,0,1,0,0,0,0.000,0.250,0.250,0.250,0.500,0.175,1.000,0.250,0.250,4,0,0,0,0,0,3,1,0.333,18,25.0,25.0,25.0
33,"Adam Dublasiewicz",1,3,2,1,0,0,0,0,0,0,0,0.000,1,0,1,0,1,0,1,0,0,0,0,0,0.333,0.333,0.333,0.000,0.333,0.150,0.000,0.500,0.333,2,0,0,0,0,0,1,0,0.000,14,0.0,0.0,0.0
13,"Maksymilian Herc",1,4,4,0,1,0,0,1,0,0,0,0.250,0,0,1,0,1,0,0,0,0,0,0,0,0.000,0.250,0.250,0.500,0.750,0.238,0.333,0.750,0.750,2,0,0,0,0,0,2,0,0.000,9,25.0,25.0,0.0
06,"Adrian Mandok",1,0,0,0,0,0,0,0,0,0,0,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0.000,0,0.0,0.0,0.0
"","TOTALS",1,35,30,8,8,0,4,4,0,0,4,0.267,4,0,3,8,11,1,1,1,1,0,0,0,0.343,0.371,0.486,0.400,0.771,0.267,0.421,0.633,0.543,14,4,0,0,0,0,13,5,0.385,126,31.4,31.4,22.9
