"#","Name","G","Et","Ef","ERR","PO","A","SBA","CS","DP","TP","PB","PKF","PK","FP","FP1","FP2","FP3","FP4","FP5","FP6","FP7","FP8","FP9","IP","OP1","OP2","OP3","OP4","OP5","OP6","OP7","OP8","OP9"
84,"Maciej Serafin",1,0,0,0,1,0,6,0,0,0,0,0,0,1.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,5.00,0,15,0,0,0,0,0,0,0
24,"Andriey Tatarevich (L3)",1,0,1,1,1,0,0,0,0,0,0,0,0,0.500,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.500,0.000,2.00,0,0,0,0,0,0,0,6,0
44,"Luis Carmona (L2)",1,0,1,1,1,2,0,0,0,0,0,0,0,0.750,0.000,0.000,0.000,0.000,0.000,0.750,0.000,0.000,0.000,5.00,0,0,0,0,0,15,0,0,0
32,"Michal Kasinski",1,1,0,1,5,1,0,0,0,0,0,0,0,0.857,0.000,0.000,0.857,0.000,0.000,0.000,0.000,0.000,0.000,5.00,0,0,15,0,0,0,0,0,0
62,"Maciej Kulik",1,0,1,1,2,1,0,0,0,0,0,0,0,0.750,0.000,0.000,0.000,0.000,0.000,0.000,0.750,0.000,0.000,5.00,0,0,0,0,0,0,15,0,0
55,"JD Carmona (L2)",1,2,1,3,1,1,0,0,0,0,0,0,0,0.400,0.000,0.000,0.000,0.000,0.400,0.000,0.000,0.000,0.000,4.33,1,0,0,0,12,0,0,0,0
40,"Krzysztof Michalski",1,0,0,0,1,0,0,0,0,0,0,0,0,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,5.00,0,0,0,0,0,0,0,0,15
51,"Karol Oska",1,0,2,2,3,1,0,0,0,0,0,0,0,0.667,0.000,0.000,0.000,0.667,0.000,0.000,0.000,0.000,0.000,5.00,0,0,0,15,0,0,0,0,0
99,"Jacek Drozd",1,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.00,6,0,0,0,0,0,0,0,0
20,"Norbert Myrek",1,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.67,2,0,0,0,0,0,0,0,0
67,"Jergus Kuchar (L2)",1,0,0,0,0,2,0,0,0,0,0,0,0,1.000,1.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,3.00,6,0,0,0,3,0,0,0,0
29,"Konrad Hrabia",1,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.00,0,0,0,0,0,0,0,9,0
"","TOTALS",1,3,6,9,15,8,6,0,0,0,0,0,0,0.719,1.000,1.000,0.857,0.667,0.500,0.750,0.750,0.500,1.000,45.00,15,15,15,15,15,15,15,15,15
