"#","Name","G","W","L","SV","ST","CMP","ShO","IP","BF","Ball","Str","PIT","R","RA","ER","ERA","ERA9","FIP","K","Kc","Ks","H","BB","IBB","K/BB","K/GI","BB/GI","H/GI","HB","BK","WP","HR","WHIP","OBP","BAA","BABIP","GO","AO","FPS","FPB","FPS%"
99,"Jacek Drozd",1,0,1,0,1,0,0,2.00,26,48,33,81,16,8.00,9,31.50,40.50,12.100,0,0,0,11,4,0,0.00,0.00,14.00,38.50,2,1,4,0,7.500,0.654,0.647,0.550,1,3,10,17,0.370
67,"Jergus Kuchar (L2)",1,0,0,0,0,0,0,2.00,12,20,18,38,2,1.00,2,7.00,9.00,8.100,1,1,0,1,2,0,0.50,3.50,7.00,3.50,2,0,1,0,1.500,0.455,0.143,0.167,4,1,6,5,0.545
55,"JD Carmona (L2)",1,0,0,0,0,0,0,0.33,7,18,5,23,4,12.00,3,63.00,81.00,39.100,0,0,0,1,3,0,0.00,0.00,63.00,21.00,1,0,2,0,12.000,0.714,0.500,0.333,0,1,2,5,0.286
20,"Norbert Myrek",1,0,0,0,0,0,0,0.67,2,3,4,7,0,0.00,0,0.00,0.00,3.100,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0,0,0,0.000,0.000,0.000,0.000,2,0,0,2,0.000
"","TOTALS",1,0,1,0,1,0,0,5.00,47,89,60,149,22,4.40,14,19.60,25.20,11.100,1,1,0,13,9,0,0.11,1.40,12.60,18.20,5,1,7,0,4.400,0.587,0.464,0.419,7,5,18,29,0.383
