"#","Name","G","PA","AB","R","H","B","1B","2B","3B","HR","RBI","AVG","BB","BBi","Kc","Ks","SO","HBP","SB","CS","PK","SCB","SF","SAC","RPA","OBP","OBPE","SLG","OPS","GPA","BABIP","CT%","CT2%","LOBi","ROE","FC","CI","GDP","GTP","AB/RSP","H/RSP","BA/RSP","TP","QAB1%","QAB2%","QAB3%"
44,"Gabriel Wilichnowski",1,4,1,2,1,0,1,0,0,0,1,1.000,0,0,0,0,0,2,0,0,0,0,1,1,0.750,0.750,0.750,1.000,1.750,0.588,0.500,1.000,0.250,1,0,0,0,0,0,0,0,0.000,14,50.0,50.0,25.0
13,"Carlos Salas",1,4,3,3,1,0,1,0,0,0,1,0.333,1,0,0,0,0,0,1,0,0,0,0,0,1.000,0.500,0.750,0.333,0.833,0.308,0.333,1.000,0.750,1,1,0,0,0,0,2,1,0.500,17,50.0,50.0,50.0
72,"Dominik Grzecicha",1,4,3,3,2,0,1,1,0,0,3,0.667,0,0,0,0,0,1,1,0,0,0,0,0,1.500,0.750,1.000,1.000,1.750,0.588,0.667,1.000,0.750,0,1,0,0,0,0,3,2,0.667,8,75.0,75.0,75.0
51,"Dawid Korzekwa",1,5,4,3,3,0,3,0,0,0,4,0.750,0,0,0,0,0,0,0,0,0,0,1,1,1.400,0.600,0.800,0.750,1.350,0.458,0.600,1.000,0.800,0,1,0,0,0,0,3,2,0.667,15,80.0,80.0,60.0
18,"Przemyslaw Sobik",1,5,4,3,4,0,2,2,0,0,2,1.000,1,0,0,0,0,0,0,0,0,0,0,0,1.000,1.000,1.000,1.500,2.500,0.825,1.000,1.000,0.800,0,0,0,0,0,0,2,2,1.000,10,80.0,80.0,40.0
26,"Mateusz Benisz",1,3,1,2,0,0,0,0,0,0,2,0.000,1,0,0,0,0,0,1,0,0,0,1,1,1.333,0.333,0.667,0.000,0.333,0.150,0.000,1.000,0.333,0,1,0,0,0,0,1,0,0.000,13,66.7,66.7,66.7
07,"Igor Fojcik",1,5,4,1,0,0,0,0,0,0,2,0.000,0,0,0,0,0,0,0,0,0,0,1,1,0.600,0.000,0.400,0.000,0.000,0.000,0.000,1.000,0.800,5,2,0,0,0,0,2,0,0.000,12,40.0,40.0,40.0
03,"Dominik Wilk",1,5,2,1,2,1,1,0,0,0,0,1.000,1,0,0,0,0,1,2,0,0,1,0,1,0.200,1.000,1.000,1.000,2.000,0.700,1.000,1.000,0.400,1,0,0,0,0,0,1,1,1.000,12,60.0,60.0,40.0
22,"Szymon Garus",1,3,1,2,0,0,0,0,0,0,1,0.000,1,0,0,0,0,1,1,0,0,0,0,0,1.000,0.667,0.667,0.000,0.667,0.300,0.000,1.000,0.333,2,0,1,0,0,0,1,0,0.000,11,33.3,33.3,33.3
06,"Dawid Pierchala",1,0,0,0,0,0,0,0,0,0,0,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0.000,0,0.0,0.0,0.0
2,"Dominik Cwalina",1,1,0,1,0,0,0,0,0,0,0,0.000,1,0,0,0,0,0,0,0,0,0,0,0,1.000,1.000,1.000,0.000,1.000,0.450,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0.000,4,0.0,0.0,0.0
02,"Pawel Kruczek",1,2,1,0,0,0,0,0,0,0,1,0.000,1,0,1,0,1,0,0,0,0,0,0,0,0.500,0.500,0.500,0.000,0.500,0.225,0.000,0.000,0.000,1,0,0,0,0,0,1,0,0.000,11,100.0,100.0,100.0
08,"Tymoteusz Piecha",1,2,1,0,0,0,0,0,0,0,1,0.000,1,0,0,0,0,0,0,0,0,0,0,0,0.500,0.500,0.500,0.000,0.500,0.225,0.000,1.000,0.500,2,0,1,0,0,0,1,0,0.000,6,50.0,50.0,50.0
01,"Jan Kiszka",1,2,1,1,0,0,0,0,0,0,0,0.000,1,0,0,0,0,0,0,0,0,0,0,0,0.500,0.500,0.500,0.000,0.500,0.225,0.000,1.000,0.500,3,0,0,0,0,0,1,0,0.000,9,0.0,0.0,0.0
9,"Maksymilian Serwotka",1,0,0,0,0,0,0,0,0,0,0,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0.000,0,0.0,0.0,0.0
16,"Karol Kocemba",1,2,2,0,0,0,0,0,0,0,0,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,4,0,1,0,0,0,2,0,0.000,7,0.0,0.0,0.0
"","TOTALS",1,47,28,22,13,1,9,3,0,0,18,0.464,9,0,1,0,1,5,6,0,0,1,4,5,0.851,0.587,0.717,0.571,1.158,0.407,0.419,0.964,0.574,20,6,3,0,0,0,20,8,0.400,149,55.3,55.3,44.7
