"#","Name","G","W","L","SV","ST","CMP","ShO","IP","BF","Ball","Str","PIT","R","RA","ER","ERA","ERA9","FIP","K","Kc","Ks","H","BB","IBB","K/BB","K/GI","BB/GI","H/GI","HB","BK","WP","HR","WHIP","OBP","BAA","BABIP","GO","AO","FPS","FPB","FPS%"
13,"Carlos Salas",1,0,0,0,1,0,0,2.00,6,11,18,29,0,0.00,0,0.00,0.00,0.100,3,1,2,0,0,0,0.00,10.50,0.00,0.00,0,0,0,0,0.000,0.000,0.000,0.000,3,0,2,4,0.333
16,"Karol Kocemba",1,0,0,0,0,0,0,1.33,9,13,17,30,2,1.50,2,10.50,13.50,5.350,3,1,2,1,0,0,0.00,15.75,0.00,5.25,3,0,1,0,0.750,0.444,0.167,0.333,1,0,3,6,0.333
08,"Tymoteusz Piecha",1,1,0,0,0,0,0,0.67,3,9,7,16,0,0.00,0,0.00,0.00,4.600,1,0,1,0,1,0,1.00,10.50,10.50,0.00,0,0,2,0,1.500,0.333,0.000,0.000,1,0,0,3,0.000
06,"Dawid Pierchala",1,0,0,0,0,0,0,1.00,6,7,20,27,2,2.00,1,7.00,9.00,1.100,1,0,1,2,0,0,0.00,7.00,0.00,14.00,0,0,0,0,2.000,0.333,0.333,0.400,2,0,3,3,0.500
"","TOTALS",1,1,0,0,1,0,0,5.00,24,40,62,102,4,0.80,3,4.20,5.40,2.300,8,2,6,3,1,0,8.00,11.20,1.40,4.20,3,0,3,0,0.800,0.292,0.150,0.250,7,0,8,16,0.333
