"#","Name","G","W","L","SV","IP","BF","Ball","Str","PIT","R","RA","ER","ERA","ERA9","FIP","K","Kc","Ks","H","BB","IBB","K/BB","K/GI","BB/GI","H/GI","HB","BK","WP","HR","WHIP","OBP","BAA","BABIP","GO","AO","FPS","FPB","FPS%"
24," Mularczyk",1,0,0,0,3.00,16,16,30,46,3,1.00,3,9.00,9.00,2.767,2,2,0,3,1,0,2.00,6.00,3.00,9.00,0,0,0,0,1.333,0.250,0.200,0.231,4,3,13,3,0.813
5," Romo",1,0,0,0,3.00,17,25,37,62,3,1.00,0,0.00,0.00,4.433,4,2,2,3,3,0,1.33,12.00,9.00,9.00,1,0,1,0,2.000,0.412,0.250,0.333,4,1,10,7,0.588
"","TOTALS",1,0,0,0,6.00,33,41,67,108,6,1.00,3,4.50,4.50,3.600,6,4,2,6,4,0,1.50,9.00,6.00,9.00,1,0,1,0,1.667,0.333,0.222,0.273,8,4,23,10,0.697
