"#","Name","G","Et","Ef","ERR","PO","A","SBA","CS","DP","TP","PB","PKF","PK","FP"
10,"Mikołaj Pietrzyk",1,1,0,1,1,1,0,0,0,0,0,0,0,0.667
17,"Konrad Szczepański",1,0,0,0,1,0,0,0,0,0,0,0,0,1.000
7,"Adam Pepłoński",1,0,0,0,1,1,0,0,0,0,0,2,0,1.000
28,"Kajetan Szafran",1,0,1,1,1,0,0,0,0,0,0,0,0,0.500
1,"Piotr Obrębski",1,0,0,0,1,1,0,0,0,0,0,0,0,1.000
65,"Yasnier Rivera",1,0,1,1,1,2,0,0,0,0,0,0,0,0.750
43,"Dobromił Warchoł",1,1,0,1,2,2,13,1,0,0,0,0,0,0.800
22,"Mariusz Staniak",1,0,0,0,4,0,0,0,0,0,0,0,0,1.000
4,"Tomasz Buławko",1,0,1,1,5,0,0,0,0,0,0,0,0,0.833
3,"Adam Wiśniewski",1,0,0,0,0,0,0,0,0,0,0,2,0,0.000
27,"Onay Perez",1,0,0,0,0,0,0,0,0,0,0,0,0,0.000
"","TOTALS",1,2,3,5,17,7,13,1,0,0,0,4,0,0.828
