"#","Name","G","W","L","SV","IP","BF","Ball","Str","PIT","R","RA","ER","ERA","ERA9","FIP","K","Kc","Ks","H","BB","IBB","K/BB","K/GI","BB/GI","H/GI","HB","BK","WP","HR","WHIP","OBP","BAA","BABIP","GO","AO","FPS","FPB","FPS%"
53," Weżgowiec",1,0,0,0,4.00,15,23,33,56,0,0.00,0,0.00,0.00,2.600,4,1,3,1,2,0,2.00,9.00,4.50,2.25,0,0,0,0,0.750,0.200,0.077,0.111,4,4,8,7,0.533
33," Dublasiewicz",1,0,0,0,2.00,11,23,16,39,2,1.00,2,9.00,9.00,9.100,0,0,0,2,4,0,0.00,0.00,18.00,9.00,0,0,0,0,3.000,0.545,0.286,0.286,5,0,5,6,0.455
"","TOTALS",1,0,0,0,6.00,26,46,49,95,2,0.33,2,3.00,3.00,4.767,4,1,3,3,6,0,0.67,6.00,9.00,4.50,0,0,0,0,1.500,0.346,0.150,0.188,9,4,13,13,0.500
