"#","Name","G","Et","Ef","ERR","PO","A","SBA","CS","DP","TP","PB","PKF","PK","FP","FP1","FP2","FP3","FP4","FP5","FP6","FP7","FP8","FP9","IP","OP1","OP2","OP3","OP4","OP5","OP6","OP7","OP8","OP9"
44,"Gabriel Wilichnowski",1,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,5.00,0,0,0,0,0,0,15,0,0
13,"Carlos Salas",1,0,1,1,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.00,0,0,0,0,12,0,0,0,0
41,"Szymon Dwojakowski",1,0,0,0,0,1,0,0,0,0,0,0,1,1.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.00,9,0,0,0,0,0,0,0,0
72,"Dominik Grzecicha",1,0,0,0,6,0,0,0,0,0,0,0,0,1.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.00,0,9,0,0,0,0,0,0,0
51,"Dawid Korzekwa",1,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,5.00,0,0,0,0,0,0,0,15,0
18,"Przemyslaw Sobik",1,0,0,0,0,3,0,0,0,0,0,0,0,1.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,5.00,0,0,0,0,0,15,0,0,0
22,"Szymon Garus",1,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.00,0,0,0,0,0,0,0,0,12
9,"Maksymilian Serwotka",1,0,0,0,1,1,0,0,0,0,0,0,0,1.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,5.00,0,0,0,15,0,0,0,0,0
06,"Dawid Pierchala",1,0,0,0,6,0,0,0,0,0,0,0,0,1.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,5.00,0,0,15,0,0,0,0,0,0
01,"Jan Kiszka",1,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.00,6,0,0,0,0,0,0,0,0
08,"Tymoteusz Piecha",1,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.00,0,0,0,0,3,0,0,0,0
2,"Dominik Cwalina",1,0,0,0,2,1,1,0,0,0,0,0,0,1.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.00,0,6,0,0,0,0,0,0,0
07,"Igor Fojcik",1,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.00,0,0,0,0,0,0,0,0,3
"","TOTALS",1,0,1,1,15,6,1,0,0,0,0,0,1,0.955,1.000,1.000,1.000,1.000,0.000,1.000,0.000,0.000,0.000,45.00,15,15,15,15,15,15,15,15,15
