"#","Name","G","PA","AB","R","H","B","1B","2B","3B","HR","RBI","AVG","BB","BBi","Kc","Ks","SO","HBP","SB","CS","PK","SCB","SF","SAC","RPA","OBP","OBPE","SLG","OPS","GPA","BABIP","CT%","CT2%","LOBi","ROE","FC","CI","GDP","GTP","AB/RSP","H/RSP","BA/RSP","TP","QAB1%","QAB2%","QAB3%"
32,"Michal Kasinski",1,2,1,1,0,0,0,0,0,0,0,0.000,1,0,0,1,1,0,0,0,0,0,0,0,0.500,0.500,0.500,0.000,0.500,0.225,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0.000,9,0.0,0.0,0.0
20,"Norbert Myrek",1,2,2,0,0,0,0,0,0,0,0,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,1,0,0,0,0,0,1,0,0.000,11,50.0,50.0,50.0
67,"Jergus Kuchar (L2)",1,2,2,0,0,0,0,0,0,0,1,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0.500,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,0,0,0,0,0,0,1,0,0.000,7,50.0,50.0,50.0
24,"Andriey Tatarevich (L3)",1,2,2,0,0,0,0,0,0,0,0,0.000,0,0,0,1,1,0,0,0,1,0,0,0,0.000,0.000,0.500,0.000,0.000,0.000,0.000,0.500,0.500,0,1,0,0,0,0,0,0,0.000,10,50.0,50.0,50.0
29,"Konrad Hrabia",1,2,1,0,0,0,0,0,0,0,0,0.000,1,0,0,1,1,0,0,0,0,0,0,0,0.000,0.500,0.500,0.000,0.500,0.225,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0.000,9,0.0,0.0,0.0
18,"Mikolaj Gorecki",1,2,2,0,0,0,0,0,0,0,0,0.000,0,0,0,2,2,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,0,0,0,0,0,0,0,0.000,9,0.0,0.0,0.0
62,"Maciej Kulik",1,2,2,0,0,0,0,0,0,0,0,0.000,0,0,0,1,1,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.500,0.500,1,0,0,0,0,0,0,0,0.000,7,0.0,0.0,0.0
76,"Bartosz Bolek",1,2,1,0,0,0,0,0,0,0,0,0.000,1,0,1,0,1,0,1,0,0,0,0,0,0.000,0.500,0.500,0.000,0.500,0.225,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0.000,7,0.0,0.0,0.0
84,"Maciej Serafin",1,2,2,0,0,0,0,0,0,0,0,0.000,0,0,1,1,2,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2,0,0,0,0,0,1,0,0.000,10,50.0,50.0,50.0
"","TOTALS",1,18,15,1,0,0,0,0,0,0,1,0.000,3,0,2,7,9,0,1,0,1,0,0,0,0.111,0.167,0.222,0.000,0.167,0.075,0.000,0.400,0.333,5,1,0,0,0,0,3,0,0.000,79,22.2,22.2,22.2
