"#","Name","G","W","L","SV","ST","CMP","ShO","IP","BF","Ball","Str","PIT","R","RA","ER","ERA","ERA9","FIP","K","Kc","Ks","H","BB","IBB","K/BB","K/GI","BB/GI","H/GI","HB","BK","WP","HR","WHIP","OBP","BAA","BABIP","GO","AO","FPS","FPB","FPS%"
75,"Rafal Philipp",1,0,1,0,1,1,0,5.00,36,45,63,108,18,3.60,12,16.80,21.60,5.300,2,0,2,14,3,0,0.67,2.80,4.20,19.60,2,0,2,0,3.400,0.528,0.500,0.483,3,9,20,16,0.556
"","TOTALS",1,0,1,0,1,1,0,5.00,36,45,63,108,18,3.60,12,16.80,21.60,5.300,2,0,2,14,3,0,0.67,2.80,4.20,19.60,2,0,2,0,3.400,0.528,0.500,0.483,3,9,20,16,0.556
