"#","Name","G","W","L","SV","ST","CMP","ShO","IP","BF","Ball","Str","PIT","R","RA","ER","ERA","ERA9","FIP","K","Kc","Ks","H","BB","IBB","K/BB","K/GI","BB/GI","H/GI","HB","BK","WP","HR","WHIP","OBP","BAA","BABIP","GO","AO","FPS","FPB","FPS%"
41,"Szymon Dwojakowski",1,0,0,0,1,0,0,3.00,9,10,25,35,0,0.00,0,0.00,0.00,-0.900,6,1,5,0,0,0,0.00,14.00,0.00,0.00,0,0,0,0,0.000,0.000,0.000,0.000,1,1,5,4,0.556
01,"Jan Kiszka",1,1,0,0,0,0,0,2.00,9,23,21,44,1,0.50,1,3.50,4.50,4.600,3,1,2,0,3,0,1.00,10.50,10.50,0.00,0,0,2,0,1.500,0.333,0.000,0.000,3,0,3,6,0.333
"","TOTALS",1,1,0,0,1,0,0,5.00,18,33,46,79,1,0.20,1,1.40,1.80,1.300,9,2,7,0,3,0,3.00,12.60,4.20,0.00,0,0,2,0,0.600,0.167,0.000,0.000,4,1,8,10,0.444
