"#","Name","G","W","L","SV","IP","BF","Ball","Str","PIT","R","RA","ER","ERA","ERA9","FIP","K","Kc","Ks","H","BB","IBB","K/BB","K/GI","BB/GI","H/GI","HB","BK","WP","HR","WHIP","OBP","BAA","BABIP","GO","AO","FPS","FPB","FPS%"
3,"Carlos Salas",1,0,0,0,5.00,21,33,52,85,3,0.60,3,5.40,5.40,3.100,3,1,2,6,1,0,3.00,5.40,1.80,10.80,1,0,0,0,1.400,0.381,0.316,0.375,5,5,14,7,0.667
41,"Szymon Dwojakowski",1,0,0,0,3.00,19,22,43,65,6,2.00,4,12.00,12.00,2.433,4,0,4,6,2,0,2.00,12.00,6.00,18.00,0,0,0,0,2.667,0.421,0.353,0.462,4,1,13,6,0.684
"","TOTALS",1,0,0,0,8.00,40,55,95,150,9,1.13,7,7.88,7.88,2.850,7,1,6,12,3,0,2.33,7.88,3.38,13.50,1,0,0,0,1.875,0.400,0.333,0.414,9,6,27,13,0.675
