"#","Name","G","Et","Ef","ERR","PO","A","SBA","CS","DP","TP","PB","PKF","PK","FP"
7,"Adam Pepłoński",1,0,0,0,0,0,0,0,0,0,0,0,0,0.000
43,"Dobromił Warchoł",1,0,1,1,4,0,7,0,0,0,1,0,0,0.800
28,"Kajetan Szafran",1,0,0,0,1,0,0,0,0,0,0,0,0,1.000
65,"Yasnier Rivera",1,0,0,0,4,1,0,0,0,0,0,0,0,1.000
1,"Piotr Obrębski",1,0,1,1,1,3,0,0,0,0,0,0,0,0.800
44,"Jan Różyło",1,0,0,0,1,0,0,0,0,0,0,0,0,1.000
10,"Mikołaj Pietrzyk",1,0,0,0,3,1,0,0,0,0,0,0,0,1.000
31,"Cheng An Cheng",1,0,1,1,1,1,0,0,0,0,0,0,0,0.667
4,"Tomasz Buławko",1,0,0,0,3,0,0,0,0,0,0,0,0,1.000
17,"Konrad Szczepański",1,0,0,0,0,0,0,0,0,0,0,0,0,0.000
"","TOTALS",1,0,3,3,18,6,7,0,0,0,1,0,0,0.889
