"#","Name","G","Et","Ef","ERR","PO","A","SBA","CS","DP","TP","PB","PKF","PK","FP"
9," Lopez",1,0,1,1,0,2,0,0,1,0,0,0,0,0.667
63,"Franciszek Filozof",1,0,0,0,0,0,0,0,0,0,0,0,0,0.000
79,"Arrayo ",1,0,0,0,13,0,3,0,0,0,0,0,0,1.000
12,"Piotr Płudowski",1,0,0,0,0,0,0,0,0,0,0,0,0,0.000
20,"jakub Lenhart",1,1,0,1,4,0,0,0,0,0,0,0,0,0.800
27," Krzemieńiowski",1,0,0,0,1,0,0,0,0,0,0,0,0,1.000
14,"Paweł Łakomy",1,0,0,0,1,3,0,0,1,0,0,0,0,1.000
68,"Szymanski ",1,0,1,1,0,0,0,0,0,0,0,0,0,0.000
57,"Malony ",1,0,0,0,0,1,0,0,0,0,0,0,0,1.000
17," Roggenbuck",1,0,0,0,2,0,0,0,1,0,0,0,0,1.000
"","TOTALS",1,1,2,3,21,6,3,0,1,0,0,0,0,0.900
