"#","Name","G","W","L","SV","IP","BF","Ball","Str","PIT","R","RA","ER","ERA","ERA9","FIP","K","Kc","Ks","H","BB","IBB","K/BB","K/GI","BB/GI","H/GI","HB","BK","WP","HR","WHIP","OBP","BAA","BABIP","GO","AO","FPS","FPB","FPS%"
57,"Malony ",1,0,0,0,7.00,30,30,70,100,4,0.57,0,0.00,0.00,-0.614,13,6,7,7,0,0,0.00,13.00,0.00,7.00,0,0,1,0,1.000,0.233,0.233,0.412,5,2,22,8,0.733
"","TOTALS",1,0,0,0,7.00,30,30,70,100,4,0.57,0,0.00,0.00,-0.614,13,6,7,7,0,0,0.00,13.00,0.00,7.00,0,0,1,0,1.000,0.233,0.233,0.412,5,2,22,8,0.733
