"#","Name","Ball","Str","PIT","R","RA","ER","ERA","ERA9","K","Kc","Ks","H","BB","IBB","K/BB","K/GI","BB/GI","H/GI","HB","BK","WP","HR","WHIP","OBP","BAA","GO","AO","FPS","FPB","FPS%"
22,"Tomasz Rogowiec",34,50,84,4,1.00,4,7.00,9.00,6,2,4,4,2,0,3.00,10.50,3.50,7.00,2,0,4,0,1.500,0.400,0.250,1,4,13,7,0.650
70,"Emil Dudek",6,11,17,0,0.00,0,0.00,0.00,1,1,0,2,0,0,0.00,7.00,0.00,14.00,0,0,0,0,2.000,0.500,0.500,0,1,4,0,1.000
"","TOTALS",40,61,101,4,0.80,4,5.60,7.20,7,3,4,6,2,0,3.50,9.80,2.80,8.40,2,0,4,0,1.600,0.417,0.300,1,5,17,7,0.708
