"#","Name","Ball","Str","PIT","R","RA","ER","ERA","ERA9","K","Kc","Ks","H","BB","IBB","K/BB","K/GI","BB/GI","H/GI","HB","BK","WP","HR","WHIP","OBP","BAA","GO","AO","FPS","FPB","FPS%"
67," Kuchar (L2)",22,21,43,7,7.00,6,42.00,54.00,0,0,0,4,3,0,0.00,0.00,21.00,28.00,1,0,1,0,7.000,0.727,0.571,0,2,6,5,0.545
20," Myrek",29,26,55,4,2.00,4,14.00,18.00,2,1,1,4,3,0,0.67,7.00,10.50,14.00,1,0,3,0,3.500,0.571,0.400,0,3,5,9,0.357
75," Philipp",27,22,49,10,7.50,2,10.50,13.50,2,1,1,5,5,0,0.40,10.50,26.25,26.25,1,0,2,0,7.500,0.647,0.455,0,2,8,9,0.471
50," Oh (L2)",18,10,28,6,9.00,6,63.00,81.00,0,0,0,5,3,0,0.00,0.00,31.50,52.50,0,0,3,0,12.000,0.889,0.833,1,0,2,7,0.222
"","TOTALS",96,79,175,27,5.40,18,25.20,32.40,4,2,2,18,14,0,0.29,5.60,19.60,25.20,3,0,9,0,6.400,0.686,0.529,1,7,21,30,0.412
