"#","Name","G","W","L","SV","IP","BF","Ball","Str","PIT","R","RA","ER","ERA","ERA9","K","Kc","Ks","H","BB","IBB","K/BB","K/GI","BB/GI","H/GI","HB","BK","WP","HR","WHIP","OBP","BAA","GO","AO","FPS","FPB","FPS%"
95,"Artur Strzałka",1,0,0,0,3.00,11,14,33,47,0,0.00,0,0.00,0.00,10,4,6,0,1,0,10.00,23.33,2.33,0.00,0,0,0,0,0.333,0.091,0.000,0,0,8,3,0.727
15,"Nikodem Kieruńczak",1,0,0,0,3.00,12,17,30,47,0,0.00,0,0.00,0.00,7,2,5,0,1,0,7.00,16.33,2.33,0.00,1,1,0,0,0.333,0.167,0.000,3,0,4,8,0.333
"","TOTALS",1,0,0,0,6.00,23,31,63,94,0,0.00,0,0.00,0.00,17,6,11,0,2,0,8.50,19.83,2.33,0.00,1,1,0,0,0.333,0.130,0.000,3,0,12,11,0.522
