"#","Name","G","W","L","SV","IP","BF","Ball","Str","PIT","R","RA","ER","ERA","ERA9","K","Kc","Ks","H","BB","IBB","K/BB","K/GI","BB/GI","H/GI","HB","BK","WP","HR","WHIP","OBP","BAA","GO","AO","FPS","FPB","FPS%"
4,"Bartosz Zera",1,0,0,0,4.00,29,36,51,87,11,2.75,6,10.50,13.50,4,1,3,11,3,0,1.33,7.00,5.25,19.25,0,0,1,0,3.500,0.483,0.440,3,4,13,16,0.448
95," Maciejewski",1,0,0,0,1.00,7,6,14,20,3,3.00,3,21.00,27.00,0,0,0,3,1,0,0.00,0.00,7.00,21.00,0,0,0,0,4.000,0.571,0.500,1,2,5,2,0.714
"","TOTALS",1,0,0,0,5.00,36,42,65,107,14,2.80,9,12.60,16.20,4,1,3,14,4,0,1.00,5.60,5.60,19.60,0,0,1,0,3.600,0.500,0.452,4,6,18,18,0.500
