"#","Name","Ball","Str","PIT","R","RA","ER","ERA","ERA9","K","Kc","Ks","H","BB","IBB","K/BB","K/GI","BB/GI","H/GI","HB","BK","WP","HR","WHIP","OBP","BAA","GO","AO","FPS","FPB","FPS%"
69," Idzik",53,87,140,11,1.57,6,6.00,7.71,10,6,4,6,3,0,3.33,10.00,3.00,6.00,2,0,1,0,1.286,0.306,0.194,4,6,19,17,0.528
"","TOTALS",53,87,140,11,1.57,6,6.00,7.71,10,6,4,6,3,0,3.33,10.00,3.00,6.00,2,0,1,0,1.286,0.306,0.194,4,6,19,17,0.528
