"#","Name","G","PA","AB","R","H","B","1B","2B","3B","HR","RBI","BB","Kc","Ks","SO","HBP","SB","CS","SF","SAC","ROE","FC","CI","GDP","GTP","AB/RSP","H/RSP"
4,"Bartek Wycisk",1,4,4,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,1,0
26,"Kacper Urbańczyk",1,4,3,1,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0
75,"Roman Pełka",1,4,3,3,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,2,0,0,0,0,1,0
66,"Aleks Polonek",1,4,4,2,2,0,0,2,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,3,2
41,"Patryk Stanoszek",1,4,3,3,1,0,1,0,0,0,1,1,0,0,0,0,4,0,0,0,2,0,0,0,0,3,1
42,"Emil Dudek",1,4,4,0,1,0,1,0,0,0,1,0,2,0,2,0,2,0,0,0,0,0,0,0,0,4,1
13,"Patryk Szczygieł",1,4,3,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0,0,0,1,0,0,0,3,0
22,"Tomasz Rogowiec",1,4,3,1,0,0,0,0,0,0,0,0,2,0,2,1,1,0,0,0,0,0,0,0,0,3,0
21,"Łukasz Rumpel",1,3,3,1,2,0,1,1,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,1
15,"Michał Karasiewicz",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
"","TOTALS",1,36,31,11,6,0,3,3,0,0,5,3,6,4,10,2,15,1,0,0,4,1,0,0,0,20,5
