"#","Name","Ball","Str","PIT","R","RA","ER","ERA","ERA9","K","Kc","Ks","H","BB","IBB","K/BB","K/GI","BB/GI","H/GI","HB","BK","WP","HR","WHIP","OBP","BAA","GO","AO","FPS","FPB","FPS%"
66,"Aleks Polonek",57,75,132,7,1.00,6,6.00,7.71,12,5,7,9,7,0,1.71,12.00,7.00,9.00,1,0,3,0,2.286,0.459,0.310,1,5,20,17,0.541
"","TOTALS",57,75,132,7,1.00,6,6.00,7.71,12,5,7,9,7,0,1.71,12.00,7.00,9.00,1,0,3,0,2.286,0.459,0.310,1,5,20,17,0.541
