"#","Name","G","W","L","SV","IP","BF","Ball","Str","PIT","R","RA","ER","ERA","ERA9","FIP","K","Kc","Ks","H","BB","IBB","K/BB","K/GI","BB/GI","H/GI","HB","BK","WP","HR","WHIP","OBP","BAA","BABIP","GO","AO","FPS","FPB","FPS%"
13,"Patryk Szczygieł",1,0,1,0,1.33,21,35,31,66,15,11.25,15,78.75,101.25,30.100,2,0,2,7,6,0,0.33,10.50,31.50,36.75,3,0,1,1,9.750,0.762,0.583,0.667,3,0,11,10,0.524
70,"Emil Dudek",1,0,0,0,0.33,3,12,5,17,1,3.00,1,21.00,27.00,21.100,0,0,0,1,2,0,0.00,0.00,42.00,21.00,0,0,3,0,9.000,1.000,1.000,1.000,0,0,1,3,0.250
58,"Jakub Osiński",1,0,0,0,2.33,22,22,37,59,12,5.14,12,36.00,46.29,12.100,2,1,1,12,3,0,0.67,6.00,9.00,36.00,1,0,0,1,6.429,0.727,0.667,0.733,2,2,17,4,0.810
"","TOTALS",1,0,1,0,4.00,46,69,73,142,28,7.00,28,49.00,63.00,18.850,4,1,3,20,11,0,0.36,7.00,19.25,35.00,4,0,4,2,7.750,0.761,0.645,0.720,5,2,29,17,0.630
