"#","Name","G","Et","Ef","ERR","PO","A","SBA","CS","DP","TP","PB","PKF","PK","FP"
9,"Miguel López",1,0,0,0,2,2,0,0,1,0,0,0,0,1.000
63,"Franciszek Filozof",1,0,0,0,1,0,0,0,0,0,0,0,0,1.000
79,"Aaron Arroyo",1,0,0,0,6,0,1,0,0,0,0,0,0,1.000
12,"Piotr Płudowski",1,0,0,0,0,1,0,0,0,0,0,0,0,1.000
20,"Jakub Lenhart",1,0,0,0,3,0,0,0,1,0,0,0,0,1.000
14,"Paweł Łakomy",1,0,0,0,0,0,0,0,0,0,0,0,0,0.000
3,"Teodor Łączny Tamas",1,0,0,0,0,0,0,0,0,0,0,0,0,0.000
64,"Marek Kozioł",1,0,0,0,0,0,0,0,0,0,0,0,0,0.000
27,"Łukasz Krzemienowski",1,0,0,0,0,0,0,0,0,0,0,0,0,0.000
15,"Szymon Skarżynski",1,0,0,0,0,1,0,0,1,0,0,0,0,1.000
"","TOTALS",1,0,0,0,12,4,1,0,1,0,0,0,0,1.000
