"#","Name","G","PA","AB","R","H","B","1B","2B","3B","HR","RBI","AVG","BB","Kc","Ks","SO","HBP","SB","CS","SCB","SF","SAC","RPA","OBP","OBPE","SLG","OPS","GPA","CT%","CT2%","ROE","FC","CI","GDP","GTP","AB/RSP","H/RSP","BA/RSP","QAB1%","QAB2%","QAB3%"
48,"Jan Pruszyński",1,4,4,2,2,0,2,0,0,0,0,0.500,0,0,0,0,0,3,0,0,0,0,0.500,0.500,0.750,0.500,1.000,0.350,1.000,1.000,1,0,0,0,0,0,0,0.000,50.0,50.0,0.0
7,"Phillip Richmond",1,4,3,1,0,0,0,0,0,0,0,0.000,1,0,0,0,0,1,0,0,0,0,0.250,0.250,0.250,0.000,0.250,0.113,1.000,0.750,0,1,0,0,0,2,0,0.000,25.0,25.0,25.0
25,"Wiktor Wróbel Habuda",1,4,1,1,1,0,0,0,1,0,3,1.000,2,0,0,0,1,3,0,0,0,0,1.000,1.000,1.000,3.000,4.000,1.200,1.000,0.250,0,0,0,0,0,1,1,1.000,50.0,50.0,50.0
22,"Hubert Szczeszka",1,4,3,0,0,0,0,0,0,0,1,0.000,1,0,1,1,0,1,0,0,0,0,0.250,0.250,0.250,0.000,0.250,0.113,0.667,0.500,0,0,0,0,0,3,0,0.000,25.0,25.0,25.0
34,"Ian Waldron",1,4,4,0,0,0,0,0,0,0,0,0.000,0,1,1,2,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.500,0.500,0,0,0,0,0,4,0,0.000,50.0,50.0,50.0
18,"Tymofil Zadniprianyi",1,4,3,0,0,0,0,0,0,0,0,0.000,1,0,0,0,0,0,0,0,0,0,0.000,0.250,0.250,0.000,0.250,0.113,1.000,0.750,0,0,0,0,0,0,0,0.000,25.0,25.0,25.0
5,"Igor Sawczuk",1,4,4,0,0,0,0,0,0,0,0,0.000,0,0,1,1,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.750,0.750,0,0,0,0,0,0,0,0.000,50.0,50.0,50.0
57,"Tadeusz Romanowski",1,3,3,0,0,0,0,0,0,0,0,0.000,0,0,1,1,0,1,0,0,0,0,0.000,0.000,0.333,0.000,0.000,0.000,0.667,0.667,1,0,0,0,0,0,0,0.000,0.0,0.0,0.0
2,"Jarosław Faryha",1,3,3,1,1,0,1,0,0,0,0,0.333,0,0,1,1,0,0,0,0,0,0,0.333,0.333,0.333,0.333,0.667,0.233,0.667,0.667,0,0,0,0,0,1,0,0.000,33.3,33.3,0.0
"","TOTALS",1,34,28,5,4,0,3,0,1,0,4,0.143,5,1,5,6,1,9,0,0,0,0,0.265,0.294,0.353,0.214,0.508,0.186,0.786,0.647,2,1,0,0,0,11,1,0.091,35.3,35.3,26.5
