"#","Name","G","W","L","SV","IP","BF","Ball","Str","PIT","R","RA","ER","ERA","ERA9","K","Kc","Ks","H","BB","IBB","K/BB","K/GI","BB/GI","H/GI","HB","BK","WP","HR","WHIP","OBP","BAA","GO","AO","FPS","FPB","FPS%"
58,"Wojciech Węcłaś",1,0,0,0,6.00,27,43,58,101,2,0.33,1,1.17,1.50,6,1,5,2,4,0,1.50,7.00,4.67,2.33,1,0,0,0,1.000,0.259,0.091,7,5,15,12,0.556
98,"Filip Sulikowski",1,0,0,0,1.00,7,11,11,22,3,3.00,3,21.00,27.00,0,0,0,2,1,0,0.00,0.00,7.00,14.00,0,0,1,0,3.000,0.429,0.333,1,2,2,5,0.286
"","TOTALS",1,0,0,0,7.00,34,54,69,123,5,0.71,4,4.00,5.14,6,1,5,4,5,0,1.20,6.00,5.00,4.00,1,0,1,0,1.286,0.294,0.143,8,7,17,17,0.500
