"#","Name","G","PA","AB","R","H","B","1B","2B","3B","HR","RBI","AVG","BB","Kc","Ks","SO","HBP","SB","CS","SCB","SF","SAC","RPA","OBP","OBPE","SLG","OPS","GPA","CT%","CT2%","ROE","FC","CI","GDP","GTP","AB/RSP","H/RSP","BA/RSP","QAB1%","QAB2%","QAB3%"
98,"Filip Sulikowski",1,4,3,1,1,0,1,0,0,0,0,0.333,1,0,1,1,0,1,0,0,0,0,0.250,0.500,0.500,0.333,0.833,0.308,0.667,0.500,0,0,0,0,0,0,0,0.000,100.0,100.0,100.0
67,"Carter Olek",1,4,4,0,3,0,2,1,0,0,1,0.750,0,0,0,0,0,2,0,0,0,0,0.250,0.750,0.750,1.000,1.750,0.588,1.000,1.000,0,0,0,0,0,1,1,1.000,75.0,75.0,25.0
77,"Nicholas Di Benedetto",1,4,2,0,0,0,0,0,0,0,0,0.000,2,1,0,1,0,0,0,0,0,0,0.000,0.500,0.500,0.000,0.500,0.225,0.500,0.250,0,0,0,0,0,2,0,0.000,50.0,25.0,25.0
76,"Aliaksandr Fedaruk",1,4,4,0,0,0,0,0,0,0,0,0.000,0,0,4,4,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,2,0,0.000,0.0,0.0,0.0
5,"Grzegorz Białas",1,4,4,0,2,0,2,0,0,0,0,0.500,0,0,1,1,0,0,0,0,0,0,0.000,0.500,0.500,0.500,1.000,0.350,0.750,0.750,0,0,0,0,0,1,0,0.000,50.0,50.0,0.0
29,"Witold Baranowski",1,3,3,0,0,0,0,0,0,0,0,0.000,0,0,2,2,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.333,0.333,0,0,0,0,0,0,0,0.000,0.0,0.0,0.0
45,"Marcin Kurkowiak",1,3,2,1,1,0,1,0,0,0,0,0.500,1,0,1,1,0,0,0,0,0,0,0.333,0.667,0.667,0.500,1.167,0.425,0.500,0.333,0,0,0,0,0,1,0,0.000,66.7,66.7,33.3
13,"Jakub Zelewski",1,3,3,0,0,0,0,0,0,0,0,0.000,0,0,3,3,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,2,0,0.000,0.0,0.0,0.0
58,"Wojciech Węcłaś",1,3,3,0,0,0,0,0,0,0,0,0.000,0,1,1,2,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.333,0.333,0,0,0,0,0,1,0,0.000,0.0,0.0,0.0
7,"Damian Koza",1,0,0,0,0,0,0,0,0,0,0,0.000,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0.000,0.0,0.0,0.0
"","TOTALS",1,32,28,2,7,0,6,1,0,0,1,0.250,4,2,13,15,0,3,0,0,0,0,0.094,0.344,0.344,0.286,0.629,0.226,0.464,0.406,0,0,0,0,0,10,1,0.100,40.6,37.5,21.9
