"#","Name","G","W","L","SV","IP","BF","Ball","Str","PIT","R","RA","ER","ERA","ERA9","K","Kc","Ks","H","BB","IBB","K/BB","K/GI","BB/GI","H/GI","HB","BK","WP","HR","WHIP","OBP","BAA","GO","AO","FPS","FPB","FPS%"
57,"Tadeusz Romanowski",1,0,0,0,7.00,32,47,85,132,2,0.29,2,2.00,2.57,15,2,13,7,4,0,3.75,15.00,4.00,7.00,0,0,2,0,1.571,0.344,0.250,3,3,19,13,0.594
"","TOTALS",1,0,0,0,7.00,32,47,85,132,2,0.29,2,2.00,2.57,15,2,13,7,4,0,3.75,15.00,4.00,7.00,0,0,2,0,1.571,0.344,0.250,3,3,19,13,0.594
