"#","Name","G","W","L","SV","IP","BF","Ball","Str","PIT","R","RA","ER","ERA","ERA9","FIP","K","Kc","Ks","H","BB","IBB","K/BB","K/GI","BB/GI","H/GI","HB","BK","WP","HR","WHIP","OBP","BAA","BABIP","GO","AO","FPS","FPB","FPS%"
95,"Artur Sztrałka",1,1,0,0,6.00,23,31,55,86,1,0.17,1,1.17,1.50,1.100,9,1,8,3,2,0,4.50,10.50,2.33,3.50,0,0,0,0,0.833,0.217,0.143,0.250,3,6,15,8,0.652
23,"Jakub Wojtczak",1,0,0,1,1.00,3,5,10,15,0,0.00,0,0.00,0.00,-2.900,3,0,3,0,0,0,0.00,21.00,0.00,0.00,0,0,0,0,0.000,0.000,0.000,0.000,0,0,1,2,0.333
"","TOTALS",1,1,0,1,7.00,26,36,65,101,1,0.14,1,1.00,1.29,0.529,12,1,11,3,2,0,6.00,12.00,2.00,3.00,0,0,0,0,0.714,0.192,0.125,0.250,3,6,16,10,0.615
