"#","Name","G","W","L","SV","IP","BF","Ball","Str","PIT","R","RA","ER","ERA","ERA9","K","Kc","Ks","H","BB","IBB","K/BB","K/GI","BB/GI","H/GI","HB","BK","WP","HR","WHIP","OBP","BAA","GO","AO","FPS","FPB","FPS%"
46," Strakhov",1,0,0,0,4.00,26,38,50,88,11,2.75,7,12.25,15.75,2,0,2,9,4,0,0.50,3.50,7.00,15.75,0,0,2,0,3.250,0.500,0.409,1,9,14,12,0.538
9," Charchuła",1,0,0,0,0.00,5,13,3,16,5,0.00,5,0.00,0.00,0,0,0,2,3,0,0.00,0.00,0.00,0.00,0,0,0,1,0.000,1.000,1.000,0,0,2,3,0.400
"","TOTALS",1,0,0,0,4.00,31,51,53,104,16,4.00,12,21.00,27.00,2,0,2,11,7,0,0.29,3.50,12.25,19.25,0,0,2,1,4.500,0.581,0.458,1,9,16,15,0.516
